0	"present"	local:AM-LOC	"paper"
8	"complexity model"	rdfs:subClassOf	"model"
8	"cognitive complexity model"	rdfs:subClassOf	"model"
8	"cognitive complexity"	rdfs:subClassOf	"complexity"
8	"cognitive complexity"	rdfs:member	"cognitive complexity model"
8	"cognitive"	rdfs:member	"cognitive complexity"
8	"cognitive complexity model"	rdfs:subClassOf	"complexity model"
8	"validation for cognitive complexity model"	local:for_cognitivecomplexitymodel	"validation"
8	"validation for cognitive complexity model"	local:validation_for	"cognitive complexity model"
8	"include"	vn.role:Theme	"validation for cognitive complexity model"
9	"include"	vn.role:Location	"contributions"
9	"new insights"	rdfs:subClassOf	"insights"
9	"justification complexity"	rdfs:subClassOf	"complexity"
9	"new"	rdfs:member	"new insights"
9	"justification"	rdfs:member	"justification complexity"
9	"new insights into justification complexity"	local:into_justificationcomplexity	"new insights"
9	"new insights into justification complexity"	local:newinsights_into	"justification complexity"
9	"include"	vn.role:Theme	"new insights into justification complexity"
10	"include"	vn.role:Location	"contributions"
10	"significant corpus"	rdfs:subClassOf	"corpus"
10	"significant"	rdfs:member	"significant corpus"
10	"novel analyses"	rdfs:subClassOf	"analyses"
10	"novel"	rdfs:member	"novel analyses"
10	"suitable justifications"	rdfs:subClassOf	"justifications"
10	"significant corpus with novel analyses"	local:with_novelanalyses	"significant corpus"
10	"significant corpus with novel analyses"	local:significantcorpus_with	"novel analyses"
10	"novel analyses of suitable justifications"	local:of_suitablejustifications	"novel analyses"
10	"novel analyses of suitable justifications"	local:novelanalyses_of	"suitable justifications"
10	"suitable for experimentation"	local:for_experimentation	"suitable"
10	"suitable for experimentation"	local:suitable_for	"experimentation"
10	"include"	vn.role:Theme	"significant corpus with novel analyses"
