0	"attracted"	local:AM-CAU	"because automated acquisition of ontologies from data can complement manual, expensive construction of ontologies."
0	"automated acquisition of ontologies"	local:automatedacquisition_of	"ontologies"
0	"automated acquisition of ontologies from data"	local:from_data	"automated acquisition of ontologies"
0	"automated acquisition of ontologies from data"	local:automatedacquisitionofontologies_from	"data"
0	"automated acquisition of ontologies from data of ontologies"	local:of_ontologies	"automated acquisition of ontologies from data"
0	"automated acquisition of ontologies from data of ontologies"	local:automatedacquisitionofontologiesfromdata_of	"ontologies"
0	"automated acquisition of ontologies from data of ontologies from data"	local:from_data	"automated acquisition of ontologies from data of ontologies"
0	"automated acquisition of ontologies from data of ontologies from data"	local:automatedacquisitionofontologiesfromdataofontologies_from	"data"
0	"expensive construction of ontologies"	local:of_ontologies	"expensive construction"
0	"expensive construction of ontologies"	local:expensiveconstruction_of	"ontologies"
1	"expressive tbox"	local:partOf	"expressive tbox axioms"
1	"terminology induction"	rdfs:subClassOf	"induction"
1	"data"	local:partOf	"data -rrb-"
1	"abox -lrb- data"	rdfs:subClassOf	"data"
1	"-lrb- data -rrb-"	rdfs:subClassOf	"-rrb-"
1	"general terminology"	local:partOf	"general terminology induction"
1	"tbox axioms"	rdfs:subClassOf	"axioms"
1	"-lrb- data"	local:partOf	"-lrb- data -rrb-"
1	"general terminology"	rdfs:subClassOf	"terminology"
1	"abox -lrb-"	local:partOf	"abox -lrb- data"
1	"terminology"	local:partOf	"terminology induction"
1	"expressive tbox"	rdfs:subClassOf	"tbox"
1	"expressive"	local:partOf	"expressive tbox"
1	"expressive tbox axioms"	rdfs:subClassOf	"axioms"
1	"data -rrb-"	rdfs:subClassOf	"-rrb-"
1	"abox -lrb- data -rrb-"	rdfs:subClassOf	"-rrb-"
1	"abox"	local:partOf	"abox -lrb-"
1	"abox -lrb- data"	local:partOf	"abox -lrb- data -rrb-"
1	"general"	local:partOf	"general terminology"
1	"-lrb-"	local:partOf	"-lrb- data"
1	"-lrb- data"	rdfs:subClassOf	"data"
1	"tbox"	local:partOf	"tbox axioms"
1	"general terminology induction"	rdfs:subClassOf	"induction"
1	"abox -lrb-"	rdfs:subClassOf	"-lrb-"
1	"abox data"	rdfs:subClassOf	"data"
1	"expressive tbox axioms"	rdfs:subClassOf	"tbox axioms"
1	"general expressive tbox axioms"	rdfs:subClassOf	"expressive tbox axioms"
1	"general terminology induction"	rdfs:subClassOf	"terminology induction"
1	"problem of general terminology induction"	local:of_GeneralTerminologyInduction	"problem"
1	"problem of general terminology induction"	local:problem_of	"general terminology induction"
1	"general terminology induction in owl"	local:in_OWL	"general terminology induction"
1	"general terminology induction in owl"	local:GeneralTerminologyInduction_in	"owl"
1	"general expressive tbox axioms from abox -lrb- data"	local:from_abox-lrb-data	"general expressive tbox axioms"
1	"general expressive tbox axioms from abox -lrb- data"	local:generalexpressiveTBoxaxioms_from	"abox -lrb- data"
2	"expressive tbox"	rdfs:subClassOf	"tbox"
2	"expressive tbox axioms"	rdfs:subClassOf	"axioms"
2	"expressive"	local:partOf	"expressive tbox"
2	"expressive tbox"	local:partOf	"expressive tbox axioms"
2	"standard"	local:partOf	"standard semantics"
2	"tbox"	local:partOf	"tbox axioms"
2	"tbox axioms"	rdfs:subClassOf	"axioms"
2	"standard semantics"	rdfs:subClassOf	"semantics"
2	"expressive tbox axioms"	rdfs:subClassOf	"tbox axioms"
2	"general expressive tbox axioms"	rdfs:subClassOf	"expressive tbox axioms"
2	"rigorously evaluate"	rdfs:subClassOf	"evaluate"
2	"quality of general expressive tbox axioms"	local:of_generalexpressiveTBoxaxioms	"quality"
2	"quality of general expressive tbox axioms"	local:quality_of	"general expressive tbox axioms"
2	"standard semantics of owl"	local:of_OWL	"standard semantics"
2	"standard semantics of owl"	local:standardsemantics_of	"owl"
3	"expressive tbox"	rdfs:subClassOf	"tbox"
3	"expressive tbox axioms"	rdfs:subClassOf	"axioms"
3	"expressive"	local:partOf	"expressive tbox"
3	"expressive tbox"	local:partOf	"expressive tbox axioms"
3	"tbox"	local:partOf	"tbox axioms"
3	"owl completeness"	rdfs:subClassOf	"completeness"
3	"tbox axioms"	rdfs:subClassOf	"axioms"
3	"data-driven algorithm"	rdfs:subClassOf	"algorithm"
3	"class expressions"	rdfs:subClassOf	"expressions"
3	"data-driven"	local:partOf	"data-driven algorithm"
3	"owl"	local:partOf	"owl completeness"
3	"class"	local:partOf	"class expressions"
3	"expressive tbox axioms"	rdfs:subClassOf	"tbox axioms"
3	"general expressive tbox axioms"	rdfs:subClassOf	"expressive tbox axioms"
3	"informed data-driven algorithm"	rdfs:subClassOf	"data-driven algorithm"
3	"class expressions for general expressive tbox axioms"	local:for_generalexpressiveTBoxaxioms	"class expressions"
3	"class expressions for general expressive tbox axioms"	local:classexpressions_for	"general expressive tbox axioms"
3	"general expressive tbox axioms in owl completeness"	local:in_owlcompleteness	"general expressive tbox axioms"
3	"general expressive tbox axioms in owl completeness"	local:generalexpressiveTBoxaxioms_in	"owl completeness"
4	"expressive tbox"	rdfs:subClassOf	"tbox"
4	"expressive tbox axioms"	rdfs:subClassOf	"axioms"
4	"expressive"	local:partOf	"expressive tbox"
4	"expressive tbox"	local:partOf	"expressive tbox axioms"
4	"tbox"	local:partOf	"tbox axioms"
4	"guarantees"	local:partOf	"guarantees completeness"
4	"tbox axioms"	rdfs:subClassOf	"axioms"
4	"data-driven algorithm"	rdfs:subClassOf	"algorithm"
4	"class expressions"	rdfs:subClassOf	"expressions"
4	"guarantees completeness"	rdfs:subClassOf	"completeness"
4	"data-driven"	local:partOf	"data-driven algorithm"
4	"class"	local:partOf	"class expressions"
4	"expressive tbox axioms"	rdfs:subClassOf	"tbox axioms"
4	"general expressive tbox axioms"	rdfs:subClassOf	"expressive tbox axioms"
4	"informed data-driven algorithm"	rdfs:subClassOf	"data-driven algorithm"
4	"class expressions for general expressive tbox axioms"	local:for_generalexpressiveTBoxaxioms	"class expressions"
4	"class expressions for general expressive tbox axioms"	local:classexpressions_for	"general expressive tbox axioms"
4	"general expressive tbox axioms in guarantees completeness"	local:in_guaranteescompleteness	"general expressive tbox axioms"
4	"general expressive tbox axioms in guarantees completeness"	local:generalexpressiveTBoxaxioms_in	"guarantees completeness"
5	"expressive tbox"	rdfs:subClassOf	"tbox"
5	"case study"	rdfs:subClassOf	"study"
5	"expressive tbox axioms"	rdfs:subClassOf	"axioms"
5	"expressive"	local:partOf	"expressive tbox"
5	"expressive tbox"	local:partOf	"expressive tbox axioms"
5	"domain"	local:partOf	"domain expert"
5	"tbox"	local:partOf	"tbox axioms"
5	"tbox axioms"	rdfs:subClassOf	"axioms"
5	"domain expert"	rdfs:subClassOf	"expert"
5	"quality measures"	rdfs:subClassOf	"measures"
5	"case"	local:partOf	"case study"
5	"quality"	local:partOf	"quality measures"
5	"expressive tbox axioms"	rdfs:subClassOf	"tbox axioms"
5	"general expressive tbox axioms"	rdfs:subClassOf	"expressive tbox axioms"
5	"acquired general expressive tbox axioms"	rdfs:subClassOf	"general expressive tbox axioms"
5	"two corpora"	rdfs:subClassOf	"corpora"
5	"empirically evaluate"	rdfs:subClassOf	"evaluate"
5	"quality measures on two corpora"	local:on_twocorpora	"quality measures"
5	"quality measures on two corpora"	local:qualitymeasures_on	"two corpora"
5	"two corpora of ontologies"	local:of_ontologies	"two corpora"
5	"two corpora of ontologies"	local:twocorpora_of	"ontologies"
5	"case study with domain expert"	local:with_domainexpert	"case study"
5	"case study with domain expert"	local:casestudy_with	"domain expert"
5	"insight into applicability"	local:into_applicability	"insight"
5	"insight into applicability"	local:insight_into	"applicability"
5	"applicability of quality measures on two corpora"	local:of_qualitymeasuresontwocorpora	"applicability"
5	"applicability of quality measures on two corpora"	local:applicability_of	"quality measures on two corpora"
6	"expressive tbox"	rdfs:subClassOf	"tbox"
6	"expressive"	local:partOf	"expressive tbox"
6	"expressive tbox axioms"	rdfs:subClassOf	"axioms"
6	"expressive tbox"	local:partOf	"expressive tbox axioms"
6	"tbox"	local:partOf	"tbox axioms"
6	"different"	local:partOf	"different quality"
6	"quality aspects"	rdfs:subClassOf	"aspects"
6	"tbox axioms"	rdfs:subClassOf	"axioms"
6	"different quality aspects"	rdfs:subClassOf	"aspects"
6	"different quality"	local:partOf	"different quality aspects"
6	"quality"	local:partOf	"quality aspects"
6	"different quality"	rdfs:subClassOf	"quality"
6	"can interesting"	rdfs:subClassOf	"interesting"
6	"expressive tbox axioms"	rdfs:subClassOf	"tbox axioms"
6	"correct general"	rdfs:subClassOf	"general"
6	"not only"	rdfs:subClassOf	"only"
6	"different quality aspects"	rdfs:subClassOf	"quality aspects"
6	"correct general expressive tbox axioms"	local:_expressivetboxaxioms	"correct general"
6	"correct general expressive tbox axioms"	local:correctgeneral_	"expressive tbox axioms"
