0	"large repositories"	rdfs:subClassOf	"repositories"
7	"improved"	local:AM-MNR	"employing for effective semantic rule"
7	"employing"	vn.role:Theme	"babelnet"
7	"semantic"	rdfs:member	"semantic rule"
7	"semantic rule"	rdfs:subClassOf	"rule"
7	"effective"	rdfs:member	"effective semantic"
7	"effective semantic"	rdfs:member	"effective semantic rule"
7	"effective semantic"	rdfs:subClassOf	"semantic"
7	"effective semantic rule"	rdfs:subClassOf	"rule"
7	"effective semantic rule"	rdfs:subClassOf	"semantic rule"
7	"employing"	vn.role:Recipient	"effective semantic rule"
8	"shows"	vn.role:Agent	"paper"
8	"relation extraction"	rdfs:subClassOf	"extraction"
8	"general-purpose"	rdfs:member	"general-purpose lexical"
8	"general-purpose lexical semantic network"	rdfs:subClassOf	"network"
8	"semantic"	rdfs:member	"semantic rule"
8	"relation"	rdfs:member	"relation extraction"
8	"semantic rule"	rdfs:subClassOf	"rule"
8	"effective"	rdfs:member	"effective semantic"
8	"semantic network"	rdfs:subClassOf	"network"
8	"lexical semantic"	rdfs:member	"lexical semantic network"
8	"lexical semantic"	rdfs:subClassOf	"semantic"
8	"general-purpose lexical semantic"	rdfs:subClassOf	"semantic"
8	"lexical"	rdfs:member	"lexical semantic"
8	"lexical semantic network"	rdfs:subClassOf	"network"
8	"general-purpose lexical semantic"	rdfs:member	"general-purpose lexical semantic network"
8	"effective semantic"	rdfs:member	"effective semantic rule"
8	"general-purpose lexical"	rdfs:subClassOf	"lexical"
8	"general-purpose lexical"	rdfs:member	"general-purpose lexical semantic"
8	"semantic"	rdfs:member	"semantic network"
8	"effective semantic"	rdfs:subClassOf	"semantic"
8	"effective semantic rule"	rdfs:subClassOf	"rule"
8	"effective semantic rule"	rdfs:subClassOf	"semantic rule"
8	"lexical semantic network"	rdfs:subClassOf	"semantic network"
8	"general-purpose lexical semantic network"	rdfs:subClassOf	"lexical semantic network"
8	"considerably improved"	rdfs:subClassOf	"improved"
8	"can considerably improved"	rdfs:subClassOf	"considerably improved"
8	"precision of relation extraction"	local:of_relationextraction	"precision"
8	"precision of relation extraction"	local:precision_of	"relation extraction"
8	"employing for effective semantic rule"	local:for_effectivesemanticrule	"employing"
8	"employing for effective semantic rule"	local:employing_for	"effective semantic rule"
8	"shows"	vn.role:Theme	"can considerably improved"
8	"relation extraction"	rdfs:subClassOf	"extraction"
8	"relation"	rdfs:member	"relation extraction"
8	"precision of relation extraction"	local:of_relationextraction	"precision"
8	"precision of relation extraction"	local:precision_of	"relation extraction"
8	"improved"	vn.role:Patient	"precision of relation extraction"
8	"improved"	local:AM-MOD	"can"
8	"improved"	local:AM-MNR	"considerably"
8	"general-purpose lexical semantic network"	rdfs:subClassOf	"network"
8	"general-purpose"	rdfs:member	"general-purpose lexical"
8	"semantic"	rdfs:member	"semantic rule"
8	"semantic rule"	rdfs:subClassOf	"rule"
8	"effective"	rdfs:member	"effective semantic"
8	"semantic network"	rdfs:subClassOf	"network"
8	"lexical semantic"	rdfs:member	"lexical semantic network"
8	"lexical semantic"	rdfs:subClassOf	"semantic"
8	"general-purpose lexical semantic"	rdfs:subClassOf	"semantic"
8	"lexical"	rdfs:member	"lexical semantic"
8	"lexical semantic network"	rdfs:subClassOf	"network"
8	"general-purpose lexical semantic"	rdfs:member	"general-purpose lexical semantic network"
8	"effective semantic"	rdfs:member	"effective semantic rule"
8	"general-purpose lexical"	rdfs:subClassOf	"lexical"
8	"general-purpose lexical"	rdfs:member	"general-purpose lexical semantic"
8	"semantic"	rdfs:member	"semantic network"
8	"effective semantic"	rdfs:subClassOf	"semantic"
8	"effective semantic rule"	rdfs:subClassOf	"rule"
8	"effective semantic rule"	rdfs:subClassOf	"semantic rule"
8	"lexical semantic network"	rdfs:subClassOf	"semantic network"
8	"general-purpose lexical semantic network"	rdfs:subClassOf	"lexical semantic network"
8	"employing for effective semantic rule"	local:for_effectivesemanticrule	"employing"
8	"employing for effective semantic rule"	local:employing_for	"effective semantic rule"
8	"improved"	local:AM-MNR	"employing for effective semantic rule"
8	"general-purpose lexical semantic network"	rdfs:subClassOf	"network"
8	"general-purpose"	rdfs:member	"general-purpose lexical"
8	"semantic"	rdfs:member	"semantic rule"
8	"semantic rule"	rdfs:subClassOf	"rule"
8	"effective"	rdfs:member	"effective semantic"
8	"semantic network"	rdfs:subClassOf	"network"
8	"lexical semantic"	rdfs:member	"lexical semantic network"
8	"lexical semantic"	rdfs:subClassOf	"semantic"
8	"general-purpose lexical semantic"	rdfs:subClassOf	"semantic"
8	"lexical"	rdfs:member	"lexical semantic"
8	"lexical semantic network"	rdfs:subClassOf	"network"
8	"general-purpose lexical semantic"	rdfs:member	"general-purpose lexical semantic network"
8	"effective semantic"	rdfs:member	"effective semantic rule"
8	"general-purpose lexical"	rdfs:subClassOf	"lexical"
8	"general-purpose lexical"	rdfs:member	"general-purpose lexical semantic"
8	"semantic"	rdfs:member	"semantic network"
8	"effective semantic"	rdfs:subClassOf	"semantic"
8	"effective semantic rule"	rdfs:subClassOf	"rule"
8	"effective semantic rule"	rdfs:subClassOf	"semantic rule"
8	"lexical semantic network"	rdfs:subClassOf	"semantic network"
8	"general-purpose lexical semantic network"	rdfs:subClassOf	"lexical semantic network"
8	"general-purpose lexical semantic network for effective semantic rule"	local:for_effectivesemanticrule	"general-purpose lexical semantic network"
8	"general-purpose lexical semantic network for effective semantic rule"	local:general-purposelexicalsemanticnetwork_for	"effective semantic rule"
8	"employing"	vn.role:Theme	"general-purpose lexical semantic network for effective semantic rule"
9	"apply"	vn.role:Agent	"we"
9	"word sense"	rdfs:member	"word sense disambiguation"
9	"sense disambiguation"	rdfs:subClassOf	"disambiguation"
9	"word"	rdfs:member	"word sense"
9	"word sense"	rdfs:subClassOf	"sense"
9	"sense"	rdfs:member	"sense disambiguation"
9	"word sense disambiguation"	rdfs:subClassOf	"disambiguation"
9	"word sense disambiguation"	rdfs:subClassOf	"sense disambiguation"
9	"apply"	vn.role:Theme	"word sense disambiguation"
9	"automatically extracted"	rdfs:subClassOf	"extracted"
9	"automatically extracted rules"	rdfs:subClassOf	"rules"
9	"extracted rules"	rdfs:subClassOf	"rules"
9	"automatically extracted"	rdfs:member	"automatically extracted rules"
9	"automatically"	rdfs:member	"automatically extracted"
9	"content words"	rdfs:subClassOf	"words"
9	"content"	rdfs:member	"content words"
9	"extracted"	rdfs:member	"extracted rules"
9	"content words of extracted rules"	local:of_extractedrules	"content words"
9	"content words of extracted rules"	local:contentwords_of	"extracted rules"
9	"apply"	vn.role:Recipient	"content words of extracted rules"
9	"extracted"	local:AM-MNR	"automatically"
9	"extracted"	vn.role:Theme	"rules"
11	"relevant"	rdfs:member	"relevant concepts"
11	"relation-specific relevant"	rdfs:member	"relation-specific relevant concepts"
11	"relation-specific"	rdfs:member	"relation-specific relevant"
11	"relevant concepts"	rdfs:subClassOf	"concepts"
11	"relation-specific relevant concepts"	rdfs:subClassOf	"concepts"
11	"relation-specific relevant"	rdfs:subClassOf	"relevant"
11	"relation-specific relevant concepts"	rdfs:subClassOf	"relevant concepts"
11	"used"	vn.role:Theme	"relation-specific relevant concepts"
11	"used"	local:AM-TMP	"then"
11	"structured semantics"	rdfs:subClassOf	"semantics"
11	"corresponding"	rdfs:member	"corresponding relation"
11	"corresponding relation"	rdfs:subClassOf	"relation"
11	"structured"	rdfs:member	"structured semantics"
11	"structured semantics of corresponding relation"	local:of_correspondingrelation	"structured semantics"
11	"structured semantics of corresponding relation"	local:structuredsemantics_of	"corresponding relation"
11	"used"	vn.role:Recipient	"represent"
11	"relevant"	rdfs:member	"relevant concepts"
11	"relation-specific relevant"	rdfs:member	"relation-specific relevant concepts"
11	"relation-specific"	rdfs:member	"relation-specific relevant"
11	"relevant concepts"	rdfs:subClassOf	"concepts"
11	"relation-specific relevant concepts"	rdfs:subClassOf	"concepts"
11	"relation-specific relevant"	rdfs:subClassOf	"relevant"
11	"relation-specific relevant concepts"	rdfs:subClassOf	"relevant concepts"
11	"represent"	vn.role:Agent	"relation-specific relevant concepts"
11	"structured semantics"	rdfs:subClassOf	"semantics"
11	"corresponding"	rdfs:member	"corresponding relation"
11	"corresponding relation"	rdfs:subClassOf	"relation"
11	"structured"	rdfs:member	"structured semantics"
11	"structured semantics of corresponding relation"	local:of_correspondingrelation	"structured semantics"
11	"structured semantics of corresponding relation"	local:structuredsemantics_of	"corresponding relation"
11	"represent"	vn.role:Theme	"structured semantics of corresponding relation"
12	"relation-specific subgraphs"	rdfs:subClassOf	"subgraphs"
12	"relation-specific"	rdfs:member	"relation-specific subgraphs"
12	"resulting"	vn.role:Theme	"relation-specific subgraphs"
12	"relation-specific subgraphs"	rdfs:subClassOf	"subgraphs"
12	"relation-specific"	rdfs:member	"relation-specific subgraphs"
12	"relation-specific subgraphs of babelnet"	local:of_babelnet	"relation-specific subgraphs"
12	"relation-specific subgraphs of babelnet"	local:relation-specificsubgraphs_of	"babelnet"
12	"used"	vn.role:Theme	"resulting"
12	"extracted rules"	rdfs:subClassOf	"rules"
12	"semantic"	rdfs:member	"semantic filters"
12	"semantic filters"	rdfs:subClassOf	"filters"
12	"extracted"	rdfs:member	"extracted rules"
12	"adequacy of extracted rules"	local:of_extractedrules	"adequacy"
12	"adequacy of extracted rules"	local:adequacy_of	"extracted rules"
12	"used"	vn.role:Recipient	"semantic filters"
12	"extracted rules"	rdfs:subClassOf	"rules"
12	"extracted"	rdfs:member	"extracted rules"
12	"adequacy of extracted rules"	local:of_extractedrules	"adequacy"
12	"adequacy of extracted rules"	local:adequacy_of	"extracted rules"
12	"estimating"	vn.role:Theme	"adequacy of extracted rules"
12	"extracted"	vn.role:Theme	"rules"
13	"semantic"	rdfs:member	"semantic relations"
13	"semantic relations"	rdfs:subClassOf	"relations"
13	"seven semantic relations"	rdfs:subClassOf	"semantic relations"
13	"tested"	vn.role:Location	"seven semantic relations"
14	"semantic"	rdfs:member	"semantic relations"
14	"semantic relations"	rdfs:subClassOf	"relations"
14	"seven semantic relations"	rdfs:subClassOf	"semantic relations"
14	"yields"	local:AM-PNC	"seven semantic relations"
14	"semantic"	rdfs:member	"semantic filter"
14	"semantic filter"	rdfs:subClassOf	"filter"
14	"yields"	vn.role:Agent	"semantic filter"
14	"yields"	local:AM-MNR	"consistently"
14	"high-recall"	rdfs:member	"high-recall range"
14	"relative recall"	rdfs:member	"relative recall value"
14	"high-recall range"	rdfs:subClassOf	"range"
14	"relative"	rdfs:member	"relative recall"
14	"relative recall value"	rdfs:subClassOf	"value"
14	"recall value"	rdfs:subClassOf	"value"
14	"relative recall"	rdfs:subClassOf	"recall"
14	"higher precision"	rdfs:subClassOf	"precision"
14	"higher"	rdfs:member	"higher precision"
14	"recall"	rdfs:member	"recall value"
14	"relative recall value"	rdfs:subClassOf	"recall value"
14	"higher precision at relative recall value"	local:at_relativerecallvalue	"higher precision"
14	"higher precision at relative recall value"	local:higherprecision_at	"relative recall value"
14	"relative recall value in high-recall range"	local:in_high-recallrange	"relative recall value"
14	"relative recall value in high-recall range"	local:relativerecallvalue_in	"high-recall range"
14	"yields"	vn.role:Theme	"higher precision at relative recall value"
