0	"reasoning framework"	rdfs:subClassOf	"framework"
5	"particular"	rdfs:member	"particular viewpoint"
5	"containing"	vn.role:Theme1	"particular viewpoint"
5	"containing"	vn.role:Theme2	"knowledge"
6	"needed"	vn.role:Patient	"knowledge"
6	"local"	rdfs:member	"local problem"
6	"particular local problem"	rdfs:subClassOf	"problem"
6	"particular"	rdfs:member	"particular local"
6	"local problem"	rdfs:subClassOf	"problem"
6	"particular local"	rdfs:member	"particular local problem"
6	"particular local"	rdfs:subClassOf	"local"
6	"particular local problem"	rdfs:subClassOf	"local problem"
6	"needed"	local:AM-PNC	"solve"
6	"solve"	vn.role:Location	"knowledge"
6	"local"	rdfs:member	"local problem"
6	"particular local problem"	rdfs:subClassOf	"problem"
6	"particular"	rdfs:member	"particular local"
6	"local problem"	rdfs:subClassOf	"problem"
6	"particular local"	rdfs:member	"particular local problem"
6	"particular local"	rdfs:subClassOf	"local"
6	"particular local problem"	rdfs:subClassOf	"local problem"
6	"solve"	vn.role:object	"particular local problem"
7	"semantic relations"	rdfs:subClassOf	"relations"
7	"semantic"	rdfs:member	"semantic relations"
7	"semantic relations between contexts"	local:between_contexts	"semantic relations"
7	"semantic relations between contexts"	local:semanticrelations_between	"contexts"
7	"allow"	vn.role:Agent	"semantic relations between contexts"
7	"other viewpoints"	rdfs:subClassOf	"viewpoints"
7	"cbr"	rdfs:member	"cbr process"
7	"particular viewpoint"	rdfs:subClassOf	"viewpoint"
7	"particular"	rdfs:member	"particular viewpoint"
7	"share"	rdfs:member	"share information"
7	"cbr process"	rdfs:subClassOf	"process"
7	"share information"	rdfs:subClassOf	"information"
7	"other"	rdfs:member	"other viewpoints"
7	"found solutions"	rdfs:subClassOf	"solutions"
7	"already found"	rdfs:subClassOf	"found"
7	"cbr process in particular viewpoint"	local:in_particularviewpoint	"cbr process"
7	"cbr process in particular viewpoint"	local:cbrprocess_in	"particular viewpoint"
7	"information about found solutions"	local:about_foundsolutions	"information"
7	"information about found solutions"	local:information_about	"found solutions"
7	"found solutions in other viewpoints"	local:in_otherviewpoints	"found solutions"
7	"found solutions in other viewpoints"	local:foundsolutions_in	"other viewpoints"
7	"allow"	vn.role:Theme	"cbr process in particular viewpoint"
7	"other"	rdfs:member	"other viewpoints"
7	"other viewpoints"	rdfs:subClassOf	"viewpoints"
7	"found solutions"	rdfs:subClassOf	"solutions"
7	"already found"	rdfs:subClassOf	"found"
7	"information about found solutions"	local:about_foundsolutions	"information"
7	"information about found solutions"	local:information_about	"found solutions"
7	"found solutions in other viewpoints"	local:in_otherviewpoints	"found solutions"
7	"found solutions in other viewpoints"	local:foundsolutions_in	"other viewpoints"
7	"share"	vn.role:Patient	"information about found solutions"
7	"found"	vn.role:Agent	"the"
7	"found"	local:AM-TMP	"already"
7	"found"	vn.role:Theme	"solutions"
7	"found"	local:AM-LOC	"viewpoints"
8	"semantic relations"	rdfs:subClassOf	"relations"
8	"semantic"	rdfs:member	"semantic relations"
8	"semantic relations between contexts"	local:between_contexts	"semantic relations"
8	"semantic relations between contexts"	local:semanticrelations_between	"contexts"
8	"allow"	vn.role:Agent	"semantic relations between contexts"
8	"cbr"	rdfs:member	"cbr process"
8	"particular viewpoint"	rdfs:subClassOf	"viewpoint"
8	"particular"	rdfs:member	"particular viewpoint"
8	"share"	rdfs:member	"share information"
8	"cbr process"	rdfs:subClassOf	"process"
8	"share information"	rdfs:subClassOf	"information"
8	"cbr process in particular viewpoint"	local:in_particularviewpoint	"cbr process"
8	"cbr process in particular viewpoint"	local:cbrprocess_in	"particular viewpoint"
8	"information about problem"	local:about_problem	"information"
8	"information about problem"	local:information_about	"problem"
8	"allow"	vn.role:Theme	"cbr process in particular viewpoint"
8	"information about problem"	local:about_problem	"information"
8	"information about problem"	local:information_about	"problem"
8	"share"	vn.role:Patient	"information about problem"
9	"semantic relations"	rdfs:subClassOf	"relations"
9	"semantic"	rdfs:member	"semantic relations"
9	"semantic relations between contexts"	local:between_contexts	"semantic relations"
9	"semantic relations between contexts"	local:semanticrelations_between	"contexts"
9	"allow"	vn.role:Agent	"semantic relations between contexts"
9	"cbr"	rdfs:member	"cbr process"
9	"particular viewpoint"	rdfs:subClassOf	"viewpoint"
9	"particular"	rdfs:member	"particular viewpoint"
9	"cbr process"	rdfs:subClassOf	"process"
9	"cbr process in particular viewpoint"	local:in_particularviewpoint	"cbr process"
9	"cbr process in particular viewpoint"	local:cbrprocess_in	"particular viewpoint"
9	"information about problem"	local:about_problem	"information"
9	"information about problem"	local:information_about	"problem"
9	"allow"	vn.role:Theme	"cbr process in particular viewpoint"
9	"information about problem"	local:about_problem	"information"
9	"information about problem"	local:information_about	"problem"
9	"reuse"	vn.role:Theme	"information about problem"
10	"reasoning mechanisms"	rdfs:subClassOf	"mechanisms"
10	"associated"	vn.role:Patient2	"reasoning mechanisms"
10	"reasoning"	rdfs:member	"reasoning mechanisms"
10	"semantic relations"	rdfs:subClassOf	"relations"
10	"reasoning mechanisms"	rdfs:subClassOf	"mechanisms"
10	"semantic"	rdfs:member	"semantic relations"
10	"associated reasoning mechanisms"	rdfs:subClassOf	"reasoning mechanisms"
10	"semantic relations between associated reasoning mechanisms"	local:between_associatedreasoningmechanisms	"semantic relations"
10	"semantic relations between associated reasoning mechanisms"	local:semanticrelations_between	"associated reasoning mechanisms"
10	"allow"	vn.role:Agent	"semantic relations between associated reasoning mechanisms"
10	"other viewpoints"	rdfs:subClassOf	"viewpoints"
10	"cbr"	rdfs:member	"cbr process"
10	"particular viewpoint"	rdfs:subClassOf	"viewpoint"
10	"particular"	rdfs:member	"particular viewpoint"
10	"cbr process"	rdfs:subClassOf	"process"
10	"other"	rdfs:member	"other viewpoints"
10	"found solutions"	rdfs:subClassOf	"solutions"
10	"already found"	rdfs:subClassOf	"found"
10	"cbr process in particular viewpoint"	local:in_particularviewpoint	"cbr process"
10	"cbr process in particular viewpoint"	local:cbrprocess_in	"particular viewpoint"
10	"information about found solutions"	local:about_foundsolutions	"information"
10	"information about found solutions"	local:information_about	"found solutions"
10	"found solutions in other viewpoints"	local:in_otherviewpoints	"found solutions"
10	"found solutions in other viewpoints"	local:foundsolutions_in	"other viewpoints"
10	"allow"	vn.role:Theme	"cbr process in particular viewpoint"
10	"other"	rdfs:member	"other viewpoints"
10	"other viewpoints"	rdfs:subClassOf	"viewpoints"
10	"found solutions"	rdfs:subClassOf	"solutions"
10	"already found"	rdfs:subClassOf	"found"
10	"information about found solutions"	local:about_foundsolutions	"information"
10	"information about found solutions"	local:information_about	"found solutions"
10	"found solutions in other viewpoints"	local:in_otherviewpoints	"found solutions"
10	"found solutions in other viewpoints"	local:foundsolutions_in	"other viewpoints"
10	"reuse"	vn.role:Theme	"information about found solutions"
10	"found"	vn.role:Agent	"the"
10	"found"	local:AM-TMP	"already"
10	"found"	vn.role:Theme	"solutions"
10	"found"	local:AM-LOC	"viewpoints"
11	"reasoning mechanisms"	rdfs:subClassOf	"mechanisms"
11	"associated"	vn.role:Patient2	"reasoning mechanisms"
11	"reasoning"	rdfs:member	"reasoning mechanisms"
11	"semantic relations"	rdfs:subClassOf	"relations"
11	"reasoning mechanisms"	rdfs:subClassOf	"mechanisms"
11	"semantic"	rdfs:member	"semantic relations"
11	"associated reasoning mechanisms"	rdfs:subClassOf	"reasoning mechanisms"
11	"semantic relations between associated reasoning mechanisms"	local:between_associatedreasoningmechanisms	"semantic relations"
11	"semantic relations between associated reasoning mechanisms"	local:semanticrelations_between	"associated reasoning mechanisms"
11	"allow"	vn.role:Agent	"semantic relations between associated reasoning mechanisms"
11	"cbr"	rdfs:member	"cbr process"
11	"particular viewpoint"	rdfs:subClassOf	"viewpoint"
11	"particular"	rdfs:member	"particular viewpoint"
11	"share"	rdfs:member	"share information"
11	"cbr process"	rdfs:subClassOf	"process"
11	"share information"	rdfs:subClassOf	"information"
11	"cbr process in particular viewpoint"	local:in_particularviewpoint	"cbr process"
11	"cbr process in particular viewpoint"	local:cbrprocess_in	"particular viewpoint"
11	"information about problem"	local:about_problem	"information"
11	"information about problem"	local:information_about	"problem"
11	"allow"	vn.role:Theme	"cbr process in particular viewpoint"
11	"information about problem"	local:about_problem	"information"
11	"information about problem"	local:information_about	"problem"
11	"share"	vn.role:Patient	"information about problem"
12	"reasoning mechanisms"	rdfs:subClassOf	"mechanisms"
12	"associated"	vn.role:Patient2	"reasoning mechanisms"
12	"reasoning"	rdfs:member	"reasoning mechanisms"
12	"semantic relations"	rdfs:subClassOf	"relations"
12	"reasoning mechanisms"	rdfs:subClassOf	"mechanisms"
12	"semantic"	rdfs:member	"semantic relations"
12	"associated reasoning mechanisms"	rdfs:subClassOf	"reasoning mechanisms"
12	"semantic relations between associated reasoning mechanisms"	local:between_associatedreasoningmechanisms	"semantic relations"
12	"semantic relations between associated reasoning mechanisms"	local:semanticrelations_between	"associated reasoning mechanisms"
12	"allow"	vn.role:Agent	"semantic relations between associated reasoning mechanisms"
12	"cbr"	rdfs:member	"cbr process"
12	"particular viewpoint"	rdfs:subClassOf	"viewpoint"
12	"particular"	rdfs:member	"particular viewpoint"
12	"cbr process"	rdfs:subClassOf	"process"
12	"cbr process in particular viewpoint"	local:in_particularviewpoint	"cbr process"
12	"cbr process in particular viewpoint"	local:cbrprocess_in	"particular viewpoint"
12	"information about problem"	local:about_problem	"information"
12	"information about problem"	local:information_about	"problem"
12	"allow"	vn.role:Theme	"cbr process in particular viewpoint"
12	"information about problem"	local:about_problem	"information"
12	"information about problem"	local:information_about	"problem"
12	"reuse"	vn.role:Theme	"information about problem"
13	"semantic relations"	rdfs:subClassOf	"relations"
13	"semantic"	rdfs:member	"semantic relations"
13	"semantic relations between contexts"	local:between_contexts	"semantic relations"
13	"semantic relations between contexts"	local:semanticrelations_between	"contexts"
13	"allow"	vn.role:Agent	"semantic relations between contexts"
13	"other viewpoints"	rdfs:subClassOf	"viewpoints"
13	"cbr"	rdfs:member	"cbr process"
13	"particular viewpoint"	rdfs:subClassOf	"viewpoint"
13	"particular"	rdfs:member	"particular viewpoint"
13	"cbr process"	rdfs:subClassOf	"process"
13	"other"	rdfs:member	"other viewpoints"
13	"found solutions"	rdfs:subClassOf	"solutions"
13	"already found"	rdfs:subClassOf	"found"
13	"cbr process in particular viewpoint"	local:in_particularviewpoint	"cbr process"
13	"cbr process in particular viewpoint"	local:cbrprocess_in	"particular viewpoint"
13	"information about found solutions"	local:about_foundsolutions	"information"
13	"information about found solutions"	local:information_about	"found solutions"
13	"found solutions in other viewpoints"	local:in_otherviewpoints	"found solutions"
13	"found solutions in other viewpoints"	local:foundsolutions_in	"other viewpoints"
13	"allow"	vn.role:Theme	"cbr process in particular viewpoint"
13	"other"	rdfs:member	"other viewpoints"
13	"other viewpoints"	rdfs:subClassOf	"viewpoints"
13	"found solutions"	rdfs:subClassOf	"solutions"
13	"already found"	rdfs:subClassOf	"found"
13	"information about found solutions"	local:about_foundsolutions	"information"
13	"information about found solutions"	local:information_about	"found solutions"
13	"found solutions in other viewpoints"	local:in_otherviewpoints	"found solutions"
13	"found solutions in other viewpoints"	local:foundsolutions_in	"other viewpoints"
13	"reuse"	vn.role:Theme	"information about found solutions"
13	"found"	vn.role:Agent	"the"
13	"found"	local:AM-TMP	"already"
13	"found"	vn.role:Theme	"solutions"
13	"found"	local:AM-LOC	"viewpoints"
14	"reasoning mechanisms"	rdfs:subClassOf	"mechanisms"
14	"associated"	vn.role:Patient2	"reasoning mechanisms"
14	"reasoning"	rdfs:member	"reasoning mechanisms"
14	"semantic relations"	rdfs:subClassOf	"relations"
14	"reasoning mechanisms"	rdfs:subClassOf	"mechanisms"
14	"semantic"	rdfs:member	"semantic relations"
14	"associated reasoning mechanisms"	rdfs:subClassOf	"reasoning mechanisms"
14	"semantic relations between associated reasoning mechanisms"	local:between_associatedreasoningmechanisms	"semantic relations"
14	"semantic relations between associated reasoning mechanisms"	local:semanticrelations_between	"associated reasoning mechanisms"
14	"allow"	vn.role:Agent	"semantic relations between associated reasoning mechanisms"
14	"other viewpoints"	rdfs:subClassOf	"viewpoints"
14	"cbr"	rdfs:member	"cbr process"
14	"particular viewpoint"	rdfs:subClassOf	"viewpoint"
14	"particular"	rdfs:member	"particular viewpoint"
14	"share"	rdfs:member	"share information"
14	"cbr process"	rdfs:subClassOf	"process"
14	"share information"	rdfs:subClassOf	"information"
14	"other"	rdfs:member	"other viewpoints"
14	"found solutions"	rdfs:subClassOf	"solutions"
14	"already found"	rdfs:subClassOf	"found"
14	"cbr process in particular viewpoint"	local:in_particularviewpoint	"cbr process"
14	"cbr process in particular viewpoint"	local:cbrprocess_in	"particular viewpoint"
14	"information about found solutions"	local:about_foundsolutions	"information"
14	"information about found solutions"	local:information_about	"found solutions"
14	"found solutions in other viewpoints"	local:in_otherviewpoints	"found solutions"
14	"found solutions in other viewpoints"	local:foundsolutions_in	"other viewpoints"
14	"allow"	vn.role:Theme	"cbr process in particular viewpoint"
14	"other"	rdfs:member	"other viewpoints"
14	"other viewpoints"	rdfs:subClassOf	"viewpoints"
14	"found solutions"	rdfs:subClassOf	"solutions"
14	"already found"	rdfs:subClassOf	"found"
14	"information about found solutions"	local:about_foundsolutions	"information"
14	"information about found solutions"	local:information_about	"found solutions"
14	"found solutions in other viewpoints"	local:in_otherviewpoints	"found solutions"
14	"found solutions in other viewpoints"	local:foundsolutions_in	"other viewpoints"
14	"share"	vn.role:Patient	"information about found solutions"
14	"found"	vn.role:Agent	"the"
14	"found"	local:AM-TMP	"already"
14	"other"	rdfs:member	"other viewpoints"
14	"other viewpoints"	rdfs:subClassOf	"viewpoints"
14	"solutions in other viewpoints"	local:in_otherviewpoints	"solutions"
14	"solutions in other viewpoints"	local:solutions_in	"other viewpoints"
14	"found"	vn.role:Theme	"solutions in other viewpoints"
