0	"federated"	rdfs:member	"federated query"
6	"data access"	rdfs:subClassOf	"access"
6	"data access"	rdfs:member	"data access interfaces"
6	"data"	rdfs:member	"data access"
6	"data access interfaces"	rdfs:subClassOf	"interfaces"
6	"access interfaces"	rdfs:subClassOf	"interfaces"
6	"data access interfaces"	rdfs:subClassOf	"access interfaces"
6	"varying data access interfaces"	rdfs:subClassOf	"data access interfaces"
6	"data such_as varying data access interfaces"	local:such_as_varyingdataaccessinterfaces	"data"
6	"data such_as varying data access interfaces"	local:data_such_as	"varying data access interfaces"
6	"use"	vn.role:Recipient	"data such_as varying data access interfaces"
6	"access"	rdfs:member	"access interfaces"
6	"data access"	rdfs:subClassOf	"access"
6	"data access"	rdfs:member	"data access interfaces"
6	"data"	rdfs:member	"data access"
6	"data access interfaces"	rdfs:subClassOf	"interfaces"
6	"access interfaces"	rdfs:subClassOf	"interfaces"
6	"data access interfaces"	rdfs:subClassOf	"access interfaces"
6	"varying"	vn.role:Attribute	"data access interfaces"
7	"major"	rdfs:member	"major challenge"
7	"major challenge"	rdfs:subClassOf	"challenge"
7	"lies"	vn.role:Location	"major challenge"
7	"semantic data use cases"	rdfs:subClassOf	"cases"
7	"semantic data use"	rdfs:subClassOf	"use"
7	"semantic data"	rdfs:member	"semantic data use"
7	"use"	rdfs:member	"use cases"
7	"data use cases"	rdfs:subClassOf	"cases"
7	"data"	rdfs:member	"data use"
7	"semantic data use"	rdfs:member	"semantic data use cases"
7	"data use"	rdfs:subClassOf	"use"
7	"semantic data"	rdfs:subClassOf	"data"
7	"data use"	rdfs:member	"data use cases"
7	"semantic"	rdfs:member	"semantic data"
7	"query expressiveness"	rdfs:subClassOf	"expressiveness"
7	"query"	rdfs:member	"query expressiveness"
7	"use cases"	rdfs:subClassOf	"cases"
7	"varying degrees"	rdfs:subClassOf	"degrees"
7	"varying data"	rdfs:subClassOf	"data"
7	"semantic varying data"	rdfs:subClassOf	"varying data"
7	"heterogeneity of semantic varying data"	local:of_semanticvaryingdata	"heterogeneity"
7	"heterogeneity of semantic varying data"	local:heterogeneity_of	"semantic varying data"
7	"use at data"	local:at_data	"use"
7	"use at data"	local:use_at	"data"
7	"data such_as varying data"	local:such_as_varyingdata	"data"
7	"data such_as varying data"	local:data_such_as	"varying data"
7	"varying degrees of query expressiveness"	local:of_queryexpressiveness	"varying degrees"
7	"varying degrees of query expressiveness"	local:varyingdegrees_of	"query expressiveness"
7	"lies"	vn.role:indirect_object	"use at data"
7	"semantic"	rdfs:member	"semantic data"
7	"semantic data"	rdfs:subClassOf	"data"
7	"use"	vn.role:Agent	"semantic data"
7	"use"	vn.role:Theme	"cases"
7	"query expressiveness"	rdfs:subClassOf	"expressiveness"
7	"query"	rdfs:member	"query expressiveness"
7	"varying degrees"	rdfs:subClassOf	"degrees"
7	"varying data"	rdfs:subClassOf	"data"
7	"data such_as varying data"	local:such_as_varyingdata	"data"
7	"data such_as varying data"	local:data_such_as	"varying data"
7	"varying degrees of query expressiveness"	local:of_queryexpressiveness	"varying degrees"
7	"varying degrees of query expressiveness"	local:varyingdegrees_of	"query expressiveness"
7	"use"	vn.role:Recipient	"data such_as varying data"
7	"varying"	vn.role:Attribute	"data"
8	"major"	rdfs:member	"major challenge"
8	"major challenge"	rdfs:subClassOf	"challenge"
8	"lies"	vn.role:Location	"major challenge"
8	"semantic data use cases"	rdfs:subClassOf	"cases"
8	"incomplete knowledge"	rdfs:subClassOf	"knowledge"
8	"semantic data use"	rdfs:subClassOf	"use"
8	"semantic data"	rdfs:member	"semantic data use"
8	"data sources"	rdfs:subClassOf	"sources"
8	"use"	rdfs:member	"use cases"
8	"query"	rdfs:member	"query level"
8	"data use cases"	rdfs:subClassOf	"cases"
8	"data"	rdfs:member	"data use"
8	"semantic data use"	rdfs:member	"semantic data use cases"
8	"data use"	rdfs:subClassOf	"use"
8	"query level"	rdfs:subClassOf	"level"
8	"semantic data"	rdfs:subClassOf	"data"
8	"data"	rdfs:member	"data sources"
8	"data use"	rdfs:member	"data use cases"
8	"semantic"	rdfs:member	"semantic data"
8	"incomplete"	rdfs:member	"incomplete knowledge"
8	"use cases"	rdfs:subClassOf	"cases"
8	"varying data"	rdfs:subClassOf	"data"
8	"heterogeneity of semantic data"	local:of_semanticdata	"heterogeneity"
8	"heterogeneity of semantic data"	local:heterogeneity_of	"semantic data"
8	"use at query level"	local:at_querylevel	"use"
8	"use at query level"	local:use_at	"query level"
8	"query level such_as varying data"	local:such_as_varyingdata	"query level"
8	"query level such_as varying data"	local:querylevel_such_as	"varying data"
8	"incomplete knowledge about data sources"	local:about_datasources	"incomplete knowledge"
8	"incomplete knowledge about data sources"	local:incompleteknowledge_about	"data sources"
8	"lies"	vn.role:indirect_object	"use at query level"
8	"semantic"	rdfs:member	"semantic data"
8	"semantic data"	rdfs:subClassOf	"data"
8	"use"	vn.role:Agent	"semantic data"
8	"incomplete knowledge"	rdfs:subClassOf	"knowledge"
8	"data sources"	rdfs:subClassOf	"sources"
8	"query"	rdfs:member	"query level"
8	"query level"	rdfs:subClassOf	"level"
8	"data"	rdfs:member	"data sources"
8	"incomplete"	rdfs:member	"incomplete knowledge"
8	"varying data"	rdfs:subClassOf	"data"
8	"cases at query level"	local:at_querylevel	"cases"
8	"cases at query level"	local:cases_at	"query level"
8	"query level such_as varying data"	local:such_as_varyingdata	"query level"
8	"query level such_as varying data"	local:querylevel_such_as	"varying data"
8	"incomplete knowledge about data sources"	local:about_datasources	"incomplete knowledge"
8	"incomplete knowledge about data sources"	local:incompleteknowledge_about	"data sources"
8	"use"	vn.role:Theme	"cases at query level"
8	"data incomplete"	rdfs:subClassOf	"incomplete"
8	"data sources"	rdfs:subClassOf	"sources"
8	"data"	rdfs:member	"data incomplete"
8	"data"	rdfs:member	"data sources"
8	"incomplete knowledge"	rdfs:subClassOf	"knowledge"
8	"data incomplete knowledge"	rdfs:subClassOf	"incomplete knowledge"
8	"data incomplete knowledge about data sources"	local:about_datasources	"data incomplete knowledge"
8	"data incomplete knowledge about data sources"	local:dataincompleteknowledge_about	"data sources"
8	"varying"	vn.role:Attribute	"data incomplete knowledge about data sources"
9	"face"	local:AM-LOC	"cases"
9	"face"	vn.role:Agent	"applications"
9	"face"	local:AM-MOD	"may"
9	"different settings"	rdfs:subClassOf	"settings"
9	"different"	rdfs:member	"different settings"
9	"face"	vn.role:Theme	"different settings"
10	"major"	rdfs:member	"major challenge"
10	"major challenge"	rdfs:subClassOf	"challenge"
10	"lies"	vn.role:Location	"major challenge"
10	"semantic data use cases"	rdfs:subClassOf	"cases"
10	"data availability"	rdfs:subClassOf	"availability"
10	"semantic data use"	rdfs:subClassOf	"use"
10	"semantic data"	rdfs:member	"semantic data use"
10	"use"	rdfs:member	"use cases"
10	"data use cases"	rdfs:subClassOf	"cases"
10	"data"	rdfs:member	"data use"
10	"semantic data use"	rdfs:member	"semantic data use cases"
10	"data use"	rdfs:subClassOf	"use"
10	"semantic data"	rdfs:subClassOf	"data"
10	"data use"	rdfs:member	"data use cases"
10	"semantic"	rdfs:member	"semantic data"
10	"different statistics"	rdfs:subClassOf	"statistics"
10	"data"	rdfs:member	"data availability"
10	"use cases"	rdfs:subClassOf	"cases"
10	"different"	rdfs:member	"different statistics"
10	"varying data availability"	rdfs:subClassOf	"data availability"
10	"heterogeneity of semantic data"	local:of_semanticdata	"heterogeneity"
10	"heterogeneity of semantic data"	local:heterogeneity_of	"semantic data"
10	"use at data"	local:at_data	"use"
10	"use at data"	local:use_at	"data"
10	"data such_as varying data availability"	local:such_as_varyingdataavailability	"data"
10	"data such_as varying data availability"	local:data_such_as	"varying data availability"
10	"varying data availability of different statistics"	local:of_differentstatistics	"varying data availability"
10	"varying data availability of different statistics"	local:varyingdataavailability_of	"different statistics"
10	"lies"	vn.role:indirect_object	"use at data"
10	"semantic"	rdfs:member	"semantic data"
10	"semantic data"	rdfs:subClassOf	"data"
10	"use"	vn.role:Agent	"semantic data"
10	"use"	vn.role:Theme	"cases"
10	"data availability"	rdfs:subClassOf	"availability"
10	"different statistics"	rdfs:subClassOf	"statistics"
10	"data"	rdfs:member	"data availability"
10	"different"	rdfs:member	"different statistics"
10	"varying data availability"	rdfs:subClassOf	"data availability"
10	"data such_as varying data availability"	local:such_as_varyingdataavailability	"data"
10	"data such_as varying data availability"	local:data_such_as	"varying data availability"
10	"varying data availability of different statistics"	local:of_differentstatistics	"varying data availability"
10	"varying data availability of different statistics"	local:varyingdataavailability_of	"different statistics"
10	"use"	vn.role:Recipient	"data such_as varying data availability"
10	"data availability"	rdfs:subClassOf	"availability"
10	"different statistics"	rdfs:subClassOf	"statistics"
10	"data"	rdfs:member	"data availability"
10	"different"	rdfs:member	"different statistics"
10	"data availability of different statistics"	local:of_differentstatistics	"data availability"
10	"data availability of different statistics"	local:dataavailability_of	"different statistics"
10	"varying"	vn.role:Attribute	"data availability of different statistics"
11	"major"	rdfs:member	"major challenge"
11	"major challenge"	rdfs:subClassOf	"challenge"
11	"lies"	vn.role:Location	"major challenge"
11	"semantic data use cases"	rdfs:subClassOf	"cases"
11	"semantic data use"	rdfs:subClassOf	"use"
11	"semantic data"	rdfs:member	"semantic data use"
11	"use"	rdfs:member	"use cases"
11	"query"	rdfs:member	"query level"
11	"data use cases"	rdfs:subClassOf	"cases"
11	"data"	rdfs:member	"data use"
11	"semantic data use"	rdfs:member	"semantic data use cases"
11	"data use"	rdfs:subClassOf	"use"
11	"query level"	rdfs:subClassOf	"level"
11	"semantic data"	rdfs:subClassOf	"data"
11	"data use"	rdfs:member	"data use cases"
11	"semantic"	rdfs:member	"semantic data"
11	"query expressiveness"	rdfs:subClassOf	"expressiveness"
11	"query"	rdfs:member	"query expressiveness"
11	"use cases"	rdfs:subClassOf	"cases"
11	"varying degrees"	rdfs:subClassOf	"degrees"
11	"varying data"	rdfs:subClassOf	"data"
11	"heterogeneity of semantic data"	local:of_semanticdata	"heterogeneity"
11	"heterogeneity of semantic data"	local:heterogeneity_of	"semantic data"
11	"use at query level"	local:at_querylevel	"use"
11	"use at query level"	local:use_at	"query level"
11	"query level such_as varying data"	local:such_as_varyingdata	"query level"
11	"query level such_as varying data"	local:querylevel_such_as	"varying data"
11	"varying degrees of query expressiveness"	local:of_queryexpressiveness	"varying degrees"
11	"varying degrees of query expressiveness"	local:varyingdegrees_of	"query expressiveness"
11	"lies"	vn.role:indirect_object	"use at query level"
11	"semantic"	rdfs:member	"semantic data"
11	"semantic data"	rdfs:subClassOf	"data"
11	"use"	vn.role:Agent	"semantic data"
11	"use"	vn.role:Theme	"cases"
11	"query level"	rdfs:subClassOf	"level"
11	"query expressiveness"	rdfs:subClassOf	"expressiveness"
11	"query"	rdfs:member	"query level"
11	"query"	rdfs:member	"query expressiveness"
11	"varying degrees"	rdfs:subClassOf	"degrees"
11	"varying data"	rdfs:subClassOf	"data"
11	"query level such_as varying data"	local:such_as_varyingdata	"query level"
11	"query level such_as varying data"	local:querylevel_such_as	"varying data"
11	"varying degrees of query expressiveness"	local:of_queryexpressiveness	"varying degrees"
11	"varying degrees of query expressiveness"	local:varyingdegrees_of	"query expressiveness"
11	"use"	vn.role:Recipient	"query level such_as varying data"
11	"varying"	vn.role:Attribute	"data"
12	"benchmark"	rdfs:member	"benchmark suite"
12	"flexible benchmark"	rdfs:member	"flexible benchmark suite"
12	"highly flexible benchmark suite"	rdfs:subClassOf	"suite"
12	"benchmark suite"	rdfs:subClassOf	"suite"
12	"flexible"	rdfs:member	"flexible benchmark"
12	"highly flexible"	rdfs:subClassOf	"flexible"
12	"highly"	rdfs:member	"highly flexible"
12	"flexible benchmark suite"	rdfs:subClassOf	"suite"
12	"flexible benchmark"	rdfs:subClassOf	"benchmark"
12	"highly flexible benchmark"	rdfs:member	"highly flexible benchmark suite"
12	"highly flexible benchmark"	rdfs:subClassOf	"benchmark"
12	"highly flexible"	rdfs:member	"highly flexible benchmark"
12	"flexible benchmark suite"	rdfs:subClassOf	"benchmark suite"
12	"customized"	vn.role:Product	"flexible benchmark suite"
12	"customized"	local:AM-MOD	"can"
12	"competing approaches"	rdfs:subClassOf	"approaches"
12	"customized"	vn.role:Material	"compare"
12	"benchmark"	rdfs:member	"benchmark suite"
12	"flexible benchmark"	rdfs:member	"flexible benchmark suite"
12	"highly flexible benchmark suite"	rdfs:subClassOf	"suite"
12	"benchmark suite"	rdfs:subClassOf	"suite"
12	"flexible"	rdfs:member	"flexible benchmark"
12	"highly flexible"	rdfs:subClassOf	"flexible"
12	"highly"	rdfs:member	"highly flexible"
12	"flexible benchmark suite"	rdfs:subClassOf	"suite"
12	"flexible benchmark"	rdfs:subClassOf	"benchmark"
12	"highly flexible benchmark"	rdfs:member	"highly flexible benchmark suite"
12	"highly flexible benchmark"	rdfs:subClassOf	"benchmark"
12	"highly flexible"	rdfs:member	"highly flexible benchmark"
12	"flexible benchmark suite"	rdfs:subClassOf	"benchmark suite"
12	"compare"	vn.role:Patient1	"flexible benchmark suite"
12	"competing approaches"	rdfs:subClassOf	"approaches"
12	"compare"	vn.role:Patient2	"competing approaches"
12	"competing"	vn.role:Actor	"approaches"
13	"accounting for heterogeneity"	local:for_heterogeneity	"accounting"
13	"accounting for heterogeneity"	local:accounting_for	"heterogeneity"
13	"present"	local:AM-ADV	"accounting for heterogeneity"
13	"present"	vn.role:Agent	"we"
13	"benchmark"	rdfs:member	"benchmark suite"
13	"flexible benchmark"	rdfs:member	"flexible benchmark suite"
13	"highly flexible benchmark suite"	rdfs:subClassOf	"suite"
13	"benchmark suite"	rdfs:subClassOf	"suite"
13	"flexible"	rdfs:member	"flexible benchmark"
13	"highly flexible"	rdfs:subClassOf	"flexible"
13	"highly"	rdfs:member	"highly flexible"
13	"flexible benchmark suite"	rdfs:subClassOf	"suite"
13	"flexible benchmark"	rdfs:subClassOf	"benchmark"
13	"highly flexible benchmark"	rdfs:member	"highly flexible benchmark suite"
13	"highly flexible benchmark"	rdfs:subClassOf	"benchmark"
13	"highly flexible"	rdfs:member	"highly flexible benchmark"
13	"flexible benchmark suite"	rdfs:subClassOf	"benchmark suite"
13	"present"	vn.role:Theme	"flexible benchmark suite"
14	"benchmark"	rdfs:member	"benchmark suite"
14	"flexible benchmark"	rdfs:member	"flexible benchmark suite"
14	"highly flexible benchmark suite"	rdfs:subClassOf	"suite"
14	"benchmark suite"	rdfs:subClassOf	"suite"
14	"flexible"	rdfs:member	"flexible benchmark"
14	"highly flexible"	rdfs:subClassOf	"flexible"
14	"highly"	rdfs:member	"highly flexible"
14	"flexible benchmark suite"	rdfs:subClassOf	"suite"
14	"flexible benchmark"	rdfs:subClassOf	"benchmark"
14	"highly flexible benchmark"	rdfs:member	"highly flexible benchmark suite"
14	"highly flexible benchmark"	rdfs:subClassOf	"benchmark"
14	"highly flexible"	rdfs:member	"highly flexible benchmark"
14	"flexible benchmark suite"	rdfs:subClassOf	"benchmark suite"
14	"customized"	vn.role:Product	"flexible benchmark suite"
14	"customized"	local:AM-MOD	"can"
14	"use cases"	rdfs:subClassOf	"cases"
14	"use"	rdfs:member	"use cases"
14	"a use cases"	rdfs:subClassOf	"use cases"
14	"customized"	local:AM-PNC	"accommodate"
14	"benchmark"	rdfs:member	"benchmark suite"
14	"flexible benchmark"	rdfs:member	"flexible benchmark suite"
14	"highly flexible benchmark suite"	rdfs:subClassOf	"suite"
14	"benchmark suite"	rdfs:subClassOf	"suite"
14	"flexible"	rdfs:member	"flexible benchmark"
14	"highly flexible"	rdfs:subClassOf	"flexible"
14	"highly"	rdfs:member	"highly flexible"
14	"flexible benchmark suite"	rdfs:subClassOf	"suite"
14	"flexible benchmark"	rdfs:subClassOf	"benchmark"
14	"highly flexible benchmark"	rdfs:member	"highly flexible benchmark suite"
14	"highly flexible benchmark"	rdfs:subClassOf	"benchmark"
