0	"dealing"	vn.role:Theme	"with large tabular datasets"
0	"dealing with large tabular datasets"	local:with_largetabulardatasets	"dealing"
0	"dealing with large tabular datasets"	local:Dealing_with	"large tabular datasets"
1	"may overkill"	rdfs:subClassOf	"overkill"
1	"once happens"	rdfs:subClassOf	"happens"
1	"only once"	rdfs:subClassOf	"once"
1	"loading in database"	local:in_database	"loading"
1	"loading in database"	local:loading_in	"database"
2	"may overkill"	rdfs:subClassOf	"overkill"
2	"once happens"	rdfs:subClassOf	"happens"
2	"only once"	rdfs:subClassOf	"once"
2	"indexing in database"	local:in_database	"indexing"
2	"indexing in database"	local:indexing_in	"database"
3	"triple store"	rdfs:subClassOf	"store"
3	"triple"	local:partOf	"triple store"
3	"may overkill"	rdfs:subClassOf	"overkill"
3	"once happens"	rdfs:subClassOf	"happens"
3	"only once"	rdfs:subClassOf	"once"
3	"indexing in triple store"	local:in_triplestore	"indexing"
3	"indexing in triple store"	local:indexing_in	"triple store"
4	"triple store"	rdfs:subClassOf	"store"
4	"triple"	local:partOf	"triple store"
4	"may overkill"	rdfs:subClassOf	"overkill"
4	"once happens"	rdfs:subClassOf	"happens"
4	"only once"	rdfs:subClassOf	"once"
4	"data in triple store"	local:in_triplestore	"data"
4	"data in triple store"	local:data_in	"triple store"
5	"tabular data"	rdfs:subClassOf	"data"
5	"tabular"	local:partOf	"tabular data"
5	"large tabular"	local:partOf	"large tabular data"
5	"large tabular data"	rdfs:subClassOf	"data"
5	"large"	local:partOf	"large tabular"
5	"large tabular"	rdfs:subClassOf	"tabular"
5	"large tabular data"	rdfs:subClassOf	"tabular data"
5	"present in paper"	local:in_paper	"present"
5	"present in paper"	local:present_in	"paper"
5	"large tabular data in datalog"	local:in_Datalog	"large tabular data"
5	"large tabular data in datalog"	local:largetabulardata_in	"datalog"
5	"allows without indexing"	local:without_indexing	"allows"
5	"allows without indexing"	local:allows_without	"indexing"
6	"unix"	local:partOf	"unix bash"
6	"unix bash"	rdfs:subClassOf	"bash"
6	"datalog query"	rdfs:subClassOf	"query"
6	"datalog"	local:partOf	"datalog query"
6	"translated to unix bash"	local:to_UnixBash	"translated"
6	"translated to unix bash"	local:translated_to	"unix bash"
7	"datalog query"	rdfs:subClassOf	"query"
7	"datalog"	local:partOf	"datalog query"
7	"can executed"	rdfs:subClassOf	"executed"
7	"can executed in shell"	local:in_shell	"can executed"
7	"can executed in shell"	local:canexecuted_in	"shell"
8	"same time"	rdfs:subClassOf	"time"
8	"unix system"	rdfs:subClassOf	"system"
8	"use"	local:partOf	"use case"
8	"bash shell"	rdfs:subClassOf	"shell"
8	"state-of-the-art"	local:partOf	"state-of-the-art systems"
8	"state-of-the-art systems"	rdfs:subClassOf	"systems"
8	"use case"	rdfs:subClassOf	"case"
8	"bash"	local:partOf	"bash shell"
8	"unix"	local:partOf	"unix system"
8	"same"	local:partOf	"same time"
8	"only bash shell"	rdfs:subClassOf	"bash shell"
8	"while competitive"	rdfs:subClassOf	"competitive"
8	"data preprocessing"	rdfs:subClassOf	"preprocessing"
8	"approach for use case"	local:for_usecase	"approach"
8	"approach for use case"	local:approach_for	"use case"
8	"use case of data preprocessing"	local:of_datapreprocessing	"use case"
8	"use case of data preprocessing"	local:usecase_of	"data preprocessing"
8	"while competitive with state-of-the-art systems"	local:with_state-of-the-artsystems	"while competitive"
8	"while competitive with state-of-the-art systems"	local:whilecompetitive_with	"state-of-the-art systems"
8	"while competitive with state-of-the-art systems in terms"	local:in_terms	"while competitive with state-of-the-art systems"
8	"while competitive with state-of-the-art systems in terms"	local:whilecompetitivewithstate-of-the-artsystems_in	"terms"
8	"terms of scalability"	local:of_scalability	"terms"
8	"terms of scalability"	local:terms_of	"scalability"
8	"while at same time"	local:at_sametime	"while"
8	"while at same time"	local:while_at	"same time"
8	"same time requiring"	local:_requiring	"same time"
8	"same time requiring"	local:sametime_	"requiring"
8	"only bash shell on unix system"	local:on_unixsystem	"only bash shell"
8	"only bash shell on unix system"	local:onlyBashshell_on	"unix system"
9	"same time"	rdfs:subClassOf	"time"
9	"unix system"	rdfs:subClassOf	"system"
9	"use"	local:partOf	"use case"
9	"bash shell"	rdfs:subClassOf	"shell"
9	"state-of-the-art"	local:partOf	"state-of-the-art systems"
9	"state-of-the-art systems"	rdfs:subClassOf	"systems"
9	"use case"	rdfs:subClassOf	"case"
9	"bash"	local:partOf	"bash shell"
9	"unix"	local:partOf	"unix system"
9	"same"	local:partOf	"same time"
9	"only bash shell"	rdfs:subClassOf	"bash shell"
9	"while competitive"	rdfs:subClassOf	"competitive"
9	"data preprocessing"	rdfs:subClassOf	"preprocessing"
9	"approach for use case"	local:for_usecase	"approach"
9	"approach for use case"	local:approach_for	"use case"
9	"use case of data preprocessing"	local:of_datapreprocessing	"use case"
9	"use case of data preprocessing"	local:usecase_of	"data preprocessing"
9	"while competitive with state-of-the-art systems"	local:with_state-of-the-artsystems	"while competitive"
9	"while competitive with state-of-the-art systems"	local:whilecompetitive_with	"state-of-the-art systems"
9	"while competitive with state-of-the-art systems in terms"	local:in_terms	"while competitive with state-of-the-art systems"
9	"while competitive with state-of-the-art systems in terms"	local:whilecompetitivewithstate-of-the-artsystems_in	"terms"
9	"terms of speed"	local:of_speed	"terms"
9	"terms of speed"	local:terms_of	"speed"
9	"while at same time"	local:at_sametime	"while"
9	"while at same time"	local:while_at	"same time"
9	"same time requiring"	local:_requiring	"same time"
9	"same time requiring"	local:sametime_	"requiring"
9	"only bash shell on unix system"	local:on_unixsystem	"only bash shell"
9	"only bash shell on unix system"	local:onlyBashshell_on	"unix system"
