0	"extensively"	rdfs:member	"extensively explored"
7	"minimal referring expressions for instances"	local:minimalreferringexpressions_for	"instances"
7	"instances of class"	local:of_class	"instances"
7	"instances of class"	local:instances_of	"class"
7	"minimal referring expressions for instances in knowledge graph"	local:in_knowledgegraph	"minimal referring expressions for instances"
7	"minimal referring expressions for instances in knowledge graph"	local:minimalreferringexpressionsforinstances_in	"knowledge graph"
7	"discover"	vn.role:Theme	"minimal referring expressions for instances in knowledge graph"
7	"referring"	vn.role:Agent	"expressions"
8	"tailored"	vn.role:Theme	"algorithm"
8	"tailored to automatically"	local:to_automatically	"tailored"
8	"tailored to automatically"	local:tailored_to	"automatically"
8	"discover"	vn.role:Agent	"tailored to automatically"
8	"knowledge graph"	rdfs:subClassOf	"graph"
8	"knowledge"	rdfs:member	"knowledge graph"
8	"referring expressions"	rdfs:subClassOf	"expressions"
8	"diverse referring expressions"	rdfs:subClassOf	"referring expressions"
8	"diverse referring expressions for instances"	local:for_instances	"diverse referring expressions"
8	"diverse referring expressions for instances"	local:diversereferringexpressions_for	"instances"
8	"instances of class"	local:of_class	"instances"
8	"instances of class"	local:instances_of	"class"
8	"diverse referring expressions for instances in knowledge graph"	local:in_knowledgegraph	"diverse referring expressions for instances"
8	"diverse referring expressions for instances in knowledge graph"	local:diversereferringexpressionsforinstances_in	"knowledge graph"
8	"discover"	vn.role:Theme	"diverse referring expressions for instances in knowledge graph"
8	"referring"	vn.role:Theme	"expressions"
9	"linking"	vn.role:Agent	"data"
9	"task re-miner"	rdfs:subClassOf	"re-miner"
9	"task"	rdfs:member	"task re-miner"
9	"linking"	vn.role:Patient	"task re-miner"
10	"demonstrate"	vn.role:Recipient	"we"
10	"demonstrate"	local:AM-MNR	"experimentally"
10	"benchmark datasets"	rdfs:subClassOf	"datasets"
10	"several benchmark datasets"	rdfs:subClassOf	"datasets"
10	"several benchmark"	rdfs:subClassOf	"benchmark"
10	"benchmark"	rdfs:member	"benchmark datasets"
10	"several"	rdfs:member	"several benchmark"
10	"several benchmark"	rdfs:member	"several benchmark datasets"
10	"existing data"	rdfs:subClassOf	"data"
10	"several benchmark datasets"	rdfs:subClassOf	"benchmark datasets"
10	"compared to existing data"	local:to_existingdata	"compared"
10	"compared to existing data"	local:compared_to	"existing data"
10	"demonstrate"	vn.role:Cause	"several benchmark datasets"
10	"existing"	vn.role:Location	"data"
11	"existing"	vn.role:Location	"data"
11	"existing data"	rdfs:subClassOf	"data"
11	"linking"	vn.role:Agent	"existing data"
11	"linking"	vn.role:Patient	"tools"
12	"referring"	vn.role:Agent	"tools"
12	"expressions for data"	local:for_data	"expressions"
12	"expressions for data"	local:expressions_for	"data"
12	"referring"	vn.role:Theme	"expressions for data"
13	"linking"	vn.role:Patient	"data"
13	"linking"	local:AM-MNR	"substantially"
13	"especially recall"	rdfs:subClassOf	"recall"
13	"linking"	vn.role:Patient	"improve"
13	"linking"	local:AM-MNR	"decreasing"
13	"substantially linking"	rdfs:subClassOf	"linking"
13	"data substantially linking"	local:_substantiallylinking	"data"
13	"data substantially linking"	local:data_	"substantially linking"
13	"improve"	vn.role:Agent	"data substantially linking"
13	"especially recall"	rdfs:subClassOf	"recall"
13	"results especially recall"	local:_especiallyrecall	"results"
13	"results especially recall"	local:results_	"especially recall"
13	"improve"	vn.role:Patient	"results especially recall"
13	"improve"	local:AM-MNR	"decreasing"
13	"decreasing"	vn.role:Attribute	"precision"
14	"show"	vn.role:Agent	"we"
14	"show"	local:AM-DIS	"also"
14	"re-miner"	rdfs:member	"re-miner algorithm"
14	"re-miner algorithm"	rdfs:subClassOf	"algorithm"
14	"can scale"	rdfs:subClassOf	"scale"
14	"can scale to datasets"	local:to_datasets	"can scale"
14	"can scale to datasets"	local:canscale_to	"datasets"
14	"show"	vn.role:Theme	"can scale to datasets"
14	"re-miner"	rdfs:member	"re-miner algorithm"
14	"re-miner algorithm"	rdfs:subClassOf	"algorithm"
14	"scale"	vn.role:Agent	"re-miner algorithm"
14	"scale"	local:AM-MOD	"can"
14	"scale"	vn.role:Source	"datasets"
15	"containing"	vn.role:Theme1	"datasets"
15	"millions facts"	rdfs:subClassOf	"facts"
15	"containing"	vn.role:Theme2	"millions facts"
