0	"tackle"	local:AM-LOC	"paper"
4	"standard ontology-based data"	rdfs:subClassOf	"data"
4	"standard ontology-based data access"	rdfs:subClassOf	"access"
4	"ontology-based data"	rdfs:subClassOf	"data"
4	"ontology-based data"	rdfs:member	"ontology-based data access"
4	"standard ontology-based"	rdfs:subClassOf	"ontology-based"
4	"ontology-based"	rdfs:member	"ontology-based data"
4	"ontology-based data access"	rdfs:subClassOf	"access"
4	"data"	rdfs:member	"data access"
4	"standard"	rdfs:member	"standard ontology-based"
4	"ontology-based data access"	rdfs:subClassOf	"data access"
4	"standard ontology-based data access"	rdfs:subClassOf	"ontology-based data access"
4	"extend"	vn.role:Theme	"standard ontology-based data access"
5	"consistency"	rdfs:member	"consistency checking"
5	"db links"	rdfs:subClassOf	"links"
5	"db"	rdfs:member	"db links"
5	"consistency checking"	rdfs:subClassOf	"checking"
5	"take into account"	local:into_account	"take"
5	"take into account"	local:take_into	"account"
5	"db links for consistency checking"	local:for_consistencychecking	"db links"
5	"db links for consistency checking"	local:dblinks_for	"consistency checking"
5	"setting"	vn.role:Patient	"take into account"
5	"data access"	rdfs:subClassOf	"access"
5	"access setting"	rdfs:subClassOf	"setting"
5	"standard ontology-based"	rdfs:member	"standard ontology-based data"
5	"standard ontology-based data"	rdfs:member	"standard ontology-based data access"
5	"ontology-based data access"	rdfs:member	"ontology-based data access setting"
5	"standard ontology-based data"	rdfs:subClassOf	"data"
5	"standard ontology-based data access"	rdfs:subClassOf	"access"
5	"ontology-based data"	rdfs:subClassOf	"data"
5	"standard ontology-based data access"	rdfs:member	"standard ontology-based data access setting"
5	"ontology-based data"	rdfs:member	"ontology-based data access"
5	"standard ontology-based"	rdfs:subClassOf	"ontology-based"
5	"ontology-based data access setting"	rdfs:subClassOf	"setting"
5	"access"	rdfs:member	"access setting"
5	"ontology-based"	rdfs:member	"ontology-based data"
5	"ontology-based data access"	rdfs:subClassOf	"access"
5	"data access setting"	rdfs:subClassOf	"setting"
5	"data"	rdfs:member	"data access"
5	"standard ontology-based data access setting"	rdfs:subClassOf	"setting"
5	"standard"	rdfs:member	"standard ontology-based"
5	"data access"	rdfs:member	"data access setting"
5	"data access setting"	rdfs:subClassOf	"access setting"
5	"ontology-based data access setting"	rdfs:subClassOf	"data access setting"
5	"standard ontology-based data access setting"	rdfs:subClassOf	"ontology-based data access setting"
5	"take"	vn.role:Agent	"standard ontology-based data access setting"
5	"take"	vn.role:Source	"account"
5	"consistency"	rdfs:member	"consistency checking"
5	"db links"	rdfs:subClassOf	"links"
5	"db"	rdfs:member	"db links"
5	"consistency checking"	rdfs:subClassOf	"checking"
5	"db links for consistency checking"	local:for_consistencychecking	"db links"
5	"db links for consistency checking"	local:dblinks_for	"consistency checking"
5	"take"	vn.role:Theme	"db links for consistency checking"
6	"natural"	rdfs:member	"natural representation"
6	"data"	rdfs:member	"data sets"
6	"most natural representation"	rdfs:subClassOf	"representation"
6	"most natural"	rdfs:subClassOf	"natural"
6	"data sets"	rdfs:subClassOf	"sets"
6	"most natural"	rdfs:member	"most natural representation"
6	"natural representation"	rdfs:subClassOf	"representation"
6	"built-in owl"	rdfs:subClassOf	"owl"
6	"built-in"	rdfs:member	"built-in owl"
6	"most"	rdfs:member	"most natural"
6	"owl built-in owl"	rdfs:subClassOf	"built-in owl"
6	"natural representation of links"	local:of_links	"natural representation"
6	"natural representation of links"	local:naturalrepresentation_of	"links"
6	"links between data sets"	local:between_datasets	"links"
6	"links between data sets"	local:links_between	"data sets"
6	"included"	vn.role:Theme	"owl built-in owl"
6	"included"	local:AM-NEG	"not"
6	"data access"	rdfs:subClassOf	"access"
6	"standard ontology-based"	rdfs:member	"standard ontology-based data"
6	"standard ontology-based data"	rdfs:member	"standard ontology-based data access"
6	"ontology language"	rdfs:subClassOf	"language"
6	"ontology"	rdfs:member	"ontology language"
6	"standard ontology-based data"	rdfs:subClassOf	"data"
6	"standard ontology-based data access"	rdfs:subClassOf	"access"
6	"ontology-based data"	rdfs:subClassOf	"data"
6	"ontology-based data"	rdfs:member	"ontology-based data access"
6	"standard ontology-based"	rdfs:subClassOf	"ontology-based"
6	"ontology-based"	rdfs:member	"ontology-based data"
6	"ontology-based data access"	rdfs:subClassOf	"access"
6	"data"	rdfs:member	"data access"
6	"standard"	rdfs:member	"standard ontology-based"
6	"ontology-based data access"	rdfs:subClassOf	"data access"
6	"standard ontology-based data access"	rdfs:subClassOf	"ontology-based data access"
6	"facto ontology language"	rdfs:subClassOf	"ontology language"
6	"de facto ontology language"	rdfs:subClassOf	"facto ontology language"
6	"de facto ontology language for standard ontology-based data access"	local:for_standardontology-baseddataaccess	"de facto ontology language"
6	"de facto ontology language for standard ontology-based data access"	local:defactoontologylanguage_for	"standard ontology-based data access"
6	"included"	vn.role:Location	"de facto ontology language for standard ontology-based data access"
7	"sameas property"	rdfs:subClassOf	"property"
7	"built-in"	rdfs:member	"built-in owl"
7	"sameas"	rdfs:member	"sameas property"
7	"built-in owl"	rdfs:subClassOf	"owl"
7	"owl built-in owl"	rdfs:subClassOf	"built-in owl"
7	"included"	vn.role:Theme	"owl built-in owl"
7	"included"	local:AM-NEG	"not"
7	"data access"	rdfs:subClassOf	"access"
7	"standard ontology-based"	rdfs:member	"standard ontology-based data"
7	"standard ontology-based data"	rdfs:member	"standard ontology-based data access"
7	"ontology language"	rdfs:subClassOf	"language"
7	"ontology"	rdfs:member	"ontology language"
7	"standard ontology-based data"	rdfs:subClassOf	"data"
7	"standard ontology-based data access"	rdfs:subClassOf	"access"
7	"ontology-based data"	rdfs:subClassOf	"data"
7	"ontology-based data"	rdfs:member	"ontology-based data access"
7	"standard ontology-based"	rdfs:subClassOf	"ontology-based"
7	"ontology-based"	rdfs:member	"ontology-based data"
7	"ontology-based data access"	rdfs:subClassOf	"access"
7	"data"	rdfs:member	"data access"
7	"standard"	rdfs:member	"standard ontology-based"
7	"ontology-based data access"	rdfs:subClassOf	"data access"
7	"standard ontology-based data access"	rdfs:subClassOf	"ontology-based data access"
7	"facto ontology language"	rdfs:subClassOf	"ontology language"
7	"de facto ontology language"	rdfs:subClassOf	"facto ontology language"
7	"de facto ontology language for standard ontology-based data access"	local:for_standardontology-baseddataaccess	"de facto ontology language"
7	"de facto ontology language for standard ontology-based data access"	local:defactoontologylanguage_for	"standard ontology-based data access"
7	"included"	vn.role:Location	"de facto ontology language for standard ontology-based data access"
8	"sameas property"	rdfs:subClassOf	"property"
8	"built-in"	rdfs:member	"built-in owl"
8	"sameas"	rdfs:member	"sameas property"
8	"built-in owl"	rdfs:subClassOf	"owl"
8	"owl built-in owl"	rdfs:subClassOf	"built-in owl"
8	"included"	vn.role:Theme	"owl built-in owl"
8	"included"	local:AM-NEG	"not"
8	"2 ql"	rdfs:subClassOf	"ql"
8	"owl 2 ql"	rdfs:subClassOf	"2 ql"
8	"included"	vn.role:Location	"owl 2 ql"
9	"natural"	rdfs:member	"natural representation"
9	"data"	rdfs:member	"data sets"
9	"most natural representation"	rdfs:subClassOf	"representation"
9	"most natural"	rdfs:subClassOf	"natural"
9	"data sets"	rdfs:subClassOf	"sets"
9	"most natural"	rdfs:member	"most natural representation"
9	"natural representation"	rdfs:subClassOf	"representation"
9	"built-in owl"	rdfs:subClassOf	"owl"
9	"built-in"	rdfs:member	"built-in owl"
9	"most"	rdfs:member	"most natural"
9	"owl built-in owl"	rdfs:subClassOf	"built-in owl"
9	"natural representation of links"	local:of_links	"natural representation"
9	"natural representation of links"	local:naturalrepresentation_of	"links"
9	"links between data sets"	local:between_datasets	"links"
9	"links between data sets"	local:links_between	"data sets"
9	"included"	vn.role:Theme	"owl built-in owl"
9	"included"	local:AM-NEG	"not"
9	"2 ql"	rdfs:subClassOf	"ql"
9	"owl 2 ql"	rdfs:subClassOf	"2 ql"
9	"included"	vn.role:Location	"owl 2 ql"
10	"treat"	vn.role:Agent	"our"
10	"treat"	local:AM-MNR	"formally"
10	"several fundamental questions"	rdfs:subClassOf	"questions"
10	"several fundamental"	rdfs:subClassOf	"fundamental"
10	"several fundamental"	rdfs:member	"several fundamental questions"
10	"several"	rdfs:member	"several fundamental"
10	"fundamental"	rdfs:member	"fundamental questions"
10	"fundamental questions"	rdfs:subClassOf	"questions"
10	"several fundamental questions"	rdfs:subClassOf	"fundamental questions"
10	"several fundamental questions in context"	local:in_context	"several fundamental questions"
10	"several fundamental questions in context"	local:severalfundamentalquestions_in	"context"
10	"treat"	vn.role:Theme	"several fundamental questions in context"
10	"database"	rdfs:member	"database identifiers"
10	"database identifiers"	rdfs:subClassOf	"identifiers"
10	"links over database identifiers"	local:over_databaseidentifiers	"links"
10	"links over database identifiers"	local:links_over	"database identifiers"
10	"treat"	vn.role:Predicate	"links over database identifiers"
10	"database"	rdfs:member	"database identifiers"
10	"database identifiers"	rdfs:subClassOf	"identifiers"
10	"links over database identifiers"	local:over_databaseidentifiers	"links"
10	"links over database identifiers"	local:links_over	"database identifiers"
10	"represented"	vn.role:Theme	"links over database identifiers"
10	"represented"	local:AM-MOD	"can"
10	"sameas statements"	rdfs:subClassOf	"statements"
10	"sameas"	rdfs:member	"sameas statements"
10	"how check"	rdfs:subClassOf	"check"
10	"terms of owl"	local:of_owl	"terms"
10	"terms of owl"	local:terms_of	"owl"
10	"represented"	local:AM-PNC	"terms of owl"
10	"sameas statements"	rdfs:subClassOf	"statements"
10	"sameas"	rdfs:member	"sameas statements"
10	"check"	vn.role:Experiencer	"owl"
10	"check"	vn.role:Stimulus	"consistency"
11	"treat"	vn.role:Agent	"our"
11	"treat"	local:AM-MNR	"formally"
11	"several fundamental questions"	rdfs:subClassOf	"questions"
11	"database"	rdfs:member	"database identifiers"
11	"database identifiers"	rdfs:subClassOf	"identifiers"
11	"several fundamental"	rdfs:subClassOf	"fundamental"
11	"several fundamental"	rdfs:member	"several fundamental questions"
11	"sameas"	rdfs:member	"sameas statements"
11	"several"	rdfs:member	"several fundamental"
11	"fundamental"	rdfs:member	"fundamental questions"
11	"fundamental questions"	rdfs:subClassOf	"questions"
11	"sameas statements"	rdfs:subClassOf	"statements"
11	"how recover"	rdfs:subClassOf	"recover"
11	"can represented"	rdfs:subClassOf	"represented"
11	"how can represented"	rdfs:subClassOf	"can represented"
11	"several fundamental questions"	rdfs:subClassOf	"fundamental questions"
11	"several fundamental questions in context"	local:in_context	"several fundamental questions"
11	"several fundamental questions in context"	local:severalfundamentalquestions_in	"context"
11	"links over database identifiers"	local:over_databaseidentifiers	"links"
11	"links over database identifiers"	local:links_over	"database identifiers"
11	"how can represented in terms"	local:in_terms	"how can represented"
11	"how can represented in terms"	local:howcanrepresented_in	"terms"
11	"terms of owl"	local:of_owl	"terms"
11	"terms of owl"	local:terms_of	"owl"
11	"rewritability of sparql"	local:of_sparql	"rewritability"
11	"rewritability of sparql"	local:rewritability_of	"sparql"
11	"how recover into sql"	local:into_sql	"how recover"
11	"how recover into sql"	local:howrecover_into	"sql"
11	"lost because_of owl"	local:because_of_owl	"lost"
11	"lost because_of owl"	local:lost_because_of	"owl"
11	"treat"	vn.role:Theme	"several fundamental questions in context"
11	"database"	rdfs:member	"database identifiers"
11	"database identifiers"	rdfs:subClassOf	"identifiers"
11	"links over database identifiers"	local:over_databaseidentifiers	"links"
11	"links over database identifiers"	local:links_over	"database identifiers"
11	"represented"	vn.role:Theme	"links over database identifiers"
11	"represented"	local:AM-MOD	"can"
11	"sameas statements"	rdfs:subClassOf	"statements"
11	"sameas"	rdfs:member	"sameas statements"
11	"how recover"	rdfs:subClassOf	"recover"
11	"terms of owl"	local:of_owl	"terms"
11	"terms of owl"	local:terms_of	"owl"
11	"rewritability of sparql"	local:of_sparql	"rewritability"
11	"rewritability of sparql"	local:rewritability_of	"sparql"
11	"how recover into sql"	local:into_sql	"how recover"
11	"how recover into sql"	local:howrecover_into	"sql"
11	"lost because_of owl"	local:because_of_owl	"lost"
11	"lost because_of owl"	local:lost_because_of	"owl"
11	"represented"	local:AM-ADV	"terms of owl"
11	"rewritability of sparql"	local:of_sparql	"rewritability"
11	"rewritability of sparql"	local:rewritability_of	"sparql"
11	"recover"	vn.role:Theme	"rewritability of sparql"
11	"recover"	vn.role:Source	"sql"
11	"lost"	local:AM-CAU	"owl"
12	"treat"	vn.role:Agent	"our"
12	"treat"	local:AM-MNR	"formally"
12	"several fundamental questions"	rdfs:subClassOf	"questions"
12	"database"	rdfs:member	"database identifiers"
12	"database identifiers"	rdfs:subClassOf	"identifiers"
12	"several fundamental"	rdfs:subClassOf	"fundamental"
12	"several fundamental"	rdfs:member	"several fundamental questions"
12	"several"	rdfs:member	"several fundamental"
12	"fundamental"	rdfs:member	"fundamental questions"
12	"fundamental questions"	rdfs:subClassOf	"questions"
12	"can represented"	rdfs:subClassOf	"represented"
12	"how can represented"	rdfs:subClassOf	"can represented"
12	"several fundamental questions"	rdfs:subClassOf	"fundamental questions"
12	"several fundamental questions in context"	local:in_context	"several fundamental questions"
12	"several fundamental questions in context"	local:severalfundamentalquestions_in	"context"
12	"links over database identifiers"	local:over_databaseidentifiers	"links"
12	"links over database identifiers"	local:links_over	"database identifiers"
12	"how can represented in terms"	local:in_terms	"how can represented"
12	"how can represented in terms"	local:howcanrepresented_in	"terms"
12	"treat"	vn.role:Theme	"several fundamental questions in context"
12	"database"	rdfs:member	"database identifiers"
12	"database identifiers"	rdfs:subClassOf	"identifiers"
12	"links over database identifiers"	local:over_databaseidentifiers	"links"
12	"links over database identifiers"	local:links_over	"database identifiers"
12	"represented"	vn.role:Theme	"links over database identifiers"
12	"represented"	local:AM-MOD	"can"
12	"sameas statements"	rdfs:subClassOf	"statements"
12	"sameas"	rdfs:member	"sameas statements"
12	"how recover"	rdfs:subClassOf	"recover"
12	"terms of owl"	local:of_owl	"terms"
12	"terms of owl"	local:terms_of	"owl"
12	"rewritability of sparql"	local:of_sparql	"rewritability"
12	"rewritability of sparql"	local:rewritability_of	"sparql"
12	"how recover into sql"	local:into_sql	"how recover"
12	"how recover into sql"	local:howrecover_into	"sql"
12	"lost because_of sameas statements"	local:because_of_sameasstatements	"lost"
12	"lost because_of sameas statements"	local:lost_because_of	"sameas statements"
12	"represented"	local:AM-PNC	"terms of owl"
12	"rewritability of sparql"	local:of_sparql	"rewritability"
12	"rewritability of sparql"	local:rewritability_of	"sparql"
12	"recover"	vn.role:Theme	"rewritability of sparql"
12	"recover"	vn.role:Source	"sql"
12	"sameas statements"	rdfs:subClassOf	"statements"
12	"sameas"	rdfs:member	"sameas statements"
12	"lost"	local:AM-CAU	"sameas statements"
13	"investigate"	vn.role:Agent	"moreover"
13	"large enterprise"	rdfs:subClassOf	"enterprise"
13	"large"	rdfs:member	"large enterprise"
13	"enterprise"	rdfs:member	"enterprise datasets"
13	"large enterprise"	rdfs:member	"large enterprise datasets"
13	"enterprise datasets"	rdfs:subClassOf	"datasets"
13	"large enterprise datasets"	rdfs:subClassOf	"datasets"
13	"large enterprise datasets"	rdfs:subClassOf	"enterprise datasets"
13	"can made"	rdfs:subClassOf	"made"
13	"scale to large enterprise datasets"	local:to_largeenterprisedatasets	"scale"
13	"scale to large enterprise datasets"	local:scale_to	"large enterprise datasets"
13	"investigate"	vn.role:Location	"can made"
13	"made"	vn.role:Material	"solution"
13	"made"	local:AM-MOD	"can"
13	"large enterprise"	rdfs:subClassOf	"enterprise"
13	"large"	rdfs:member	"large enterprise"
13	"enterprise"	rdfs:member	"enterprise datasets"
13	"large enterprise"	rdfs:member	"large enterprise datasets"
13	"enterprise datasets"	rdfs:subClassOf	"datasets"
13	"large enterprise datasets"	rdfs:subClassOf	"datasets"
13	"large enterprise datasets"	rdfs:subClassOf	"enterprise datasets"
13	"scale to large enterprise datasets"	local:to_largeenterprisedatasets	"scale"
13	"scale to large enterprise datasets"	local:scale_to	"large enterprise datasets"
13	"made"	local:AM-PNC	"scale to large enterprise datasets"
13	"large enterprise"	rdfs:subClassOf	"enterprise"
13	"large"	rdfs:member	"large enterprise"
13	"enterprise"	rdfs:member	"enterprise datasets"
13	"large enterprise"	rdfs:member	"large enterprise datasets"
13	"enterprise datasets"	rdfs:subClassOf	"datasets"
13	"large enterprise datasets"	rdfs:subClassOf	"datasets"
13	"large enterprise datasets"	rdfs:subClassOf	"enterprise datasets"
13	"scale"	vn.role:Theme	"large enterprise datasets"
14	"carried"	vn.role:Agent	"our"
14	"extensive set"	rdfs:subClassOf	"set"
14	"extensive"	rdfs:member	"extensive set"
14	"extensive set of experiments"	local:of_experiments	"extensive set"
14	"extensive set of experiments"	local:extensiveset_of	"experiments"
14	"carried"	vn.role:Theme	"extensive set of experiments"
15	"implemented"	vn.role:Agent	"our"
15	"implemented"	vn.role:Theme	"approach"
16	"showing"	vn.role:Agent	"experiments"
16	"showing"	vn.role:Theme	"scalability"
