0	"model-based approaches"	rdfs:subClassOf	"approaches"
1	"recommended"	vn.role:Agent	"we"
1	"recommended"	vn.role:Theme	"items"
2	"makes"	vn.role:Agent	"this"
2	"makes"	vn.role:Product	"non-trivial"
2	"recommendation process"	rdfs:subClassOf	"process"
2	"interpretation of recommendation process"	local:of_recommendationprocess	"interpretation"
2	"interpretation of recommendation process"	local:interpretation_of	"recommendation process"
2	"makes"	vn.role:Material	"interpretation of recommendation process"
3	"show"	local:AM-LOC	"paper"
3	"show"	vn.role:Agent	"we"
3	"factorization machines"	rdfs:subClassOf	"machines"
3	"interpretable model"	rdfs:subClassOf	"model"
3	"knowledge graph"	rdfs:subClassOf	"graph"
3	"latent factors"	rdfs:subClassOf	"factors"
3	"latent factors in factorization machines"	local:in_factorizationmachines	"latent factors"
3	"latent factors in factorization machines"	local:latentfactors_in	"factorization machines"
3	"coming from knowledge graph"	local:from_knowledgegraph	"coming"
3	"coming from knowledge graph"	local:coming_from	"knowledge graph"
3	"show"	vn.role:Theme	"initialize"
3	"factorization machines"	rdfs:subClassOf	"machines"
3	"latent factors"	rdfs:subClassOf	"factors"
3	"latent factors in factorization machines"	local:in_factorizationmachines	"latent factors"
3	"latent factors in factorization machines"	local:latentfactors_in	"factorization machines"
3	"initialize"	vn.role:Theme	"latent factors in factorization machines"
3	"knowledge graph"	rdfs:subClassOf	"graph"
3	"coming from knowledge graph"	local:from_knowledgegraph	"coming"
3	"coming from knowledge graph"	local:coming_from	"knowledge graph"
3	"initialize"	local:AM-MNR	"using"
3	"interpretable model"	rdfs:subClassOf	"model"
3	"initialize"	local:AM-PNC	"order"
3	"knowledge graph"	rdfs:subClassOf	"graph"
3	"coming from knowledge graph"	local:from_knowledgegraph	"coming"
3	"coming from knowledge graph"	local:coming_from	"knowledge graph"
3	"using"	vn.role:Theme	"coming from knowledge graph"
3	"interpretable model"	rdfs:subClassOf	"model"
3	"using"	local:AM-PNC	"order"
3	"knowledge graph"	rdfs:subClassOf	"graph"
3	"coming"	vn.role:indirect_object	"knowledge graph"
3	"interpretable model"	rdfs:subClassOf	"model"
3	"coming"	local:AM-PNC	"order"
3	"interpretable model"	rdfs:subClassOf	"model"
3	"train"	vn.role:Theme	"interpretable model"
4	"semantic features"	rdfs:subClassOf	"features"
4	"injected"	vn.role:Theme	"semantic features"
4	"injected"	vn.role:Destination	"learning"
4	"original informativeness"	rdfs:subClassOf	"informativeness"
4	"available items"	rdfs:subClassOf	"items"
4	"original informativeness of available items"	local:of_availableitems	"original informativeness"
4	"original informativeness of available items"	local:originalinformativeness_of	"available items"
4	"available in dataset"	local:in_dataset	"available"
4	"available in dataset"	local:available_in	"dataset"
4	"injected"	vn.role:Theme	"retain"
4	"learning"	vn.role:Agent	"process"
4	"semantic features"	rdfs:subClassOf	"features"
4	"retain"	vn.role:Agent	"semantic features"
4	"original informativeness"	rdfs:subClassOf	"informativeness"
4	"available items"	rdfs:subClassOf	"items"
4	"original informativeness of available items"	local:of_availableitems	"original informativeness"
4	"original informativeness of available items"	local:originalinformativeness_of	"available items"
4	"available in dataset"	local:in_dataset	"available"
4	"available in dataset"	local:available_in	"dataset"
4	"retain"	vn.role:Theme	"original informativeness of available items"
5	"trained model"	rdfs:subClassOf	"model"
5	"accuracy of trained model"	local:of_trainedmodel	"accuracy"
5	"accuracy of trained model"	local:accuracy_of	"trained model"
5	"tested"	vn.role:Location	"accuracy of trained model"
5	"recommender systems datasets"	rdfs:subClassOf	"datasets"
5	"well-known recommender systems"	rdfs:subClassOf	"systems"
5	"well-known recommender systems datasets"	rdfs:subClassOf	"datasets"
5	"recommender systems"	rdfs:subClassOf	"systems"
5	"well-known recommender"	rdfs:subClassOf	"recommender"
5	"systems datasets"	rdfs:subClassOf	"datasets"
5	"recommender systems datasets"	rdfs:subClassOf	"systems datasets"
5	"well-known recommender systems datasets"	rdfs:subClassOf	"recommender systems datasets"
5	"two well-known recommender systems datasets"	rdfs:subClassOf	"well-known recommender systems datasets"
5	"tested"	local:AM-MNR	"using"
5	"trained model"	rdfs:subClassOf	"model"
5	"accuracy of trained model"	local:of_trainedmodel	"accuracy"
5	"accuracy of trained model"	local:accuracy_of	"trained model"
5	"using"	vn.role:Agent	"accuracy of trained model"
5	"well-known recommender systems"	rdfs:subClassOf	"systems"
5	"recommender systems"	rdfs:subClassOf	"systems"
5	"well-known recommender"	rdfs:subClassOf	"recommender"
5	"well-known recommender systems"	rdfs:subClassOf	"recommender systems"
5	"two well-known recommender systems"	rdfs:subClassOf	"well-known recommender systems"
5	"using"	vn.role:Theme	"two well-known recommender systems"
5	"using"	vn.role:Agent	"datasets"
6	"original knowledge graph"	rdfs:subClassOf	"graph"
6	"original knowledge"	rdfs:subClassOf	"knowledge"
6	"knowledge graph"	rdfs:subClassOf	"graph"
6	"original knowledge graph"	rdfs:subClassOf	"knowledge graph"
6	"encoded in original knowledge graph"	local:in_originalknowledgegraph	"encoded"
6	"encoded in original knowledge graph"	local:encoded_in	"original knowledge graph"
6	"relying"	vn.role:Theme	"encoded in original knowledge graph"
6	"relying"	vn.role:Agent	"we"
6	"semantic accuracy"	rdfs:subClassOf	"accuracy"
6	"knowledge-aware interpretability"	rdfs:subClassOf	"interpretability"
6	"final model"	rdfs:subClassOf	"model"
6	"semantic accuracy for knowledge-aware interpretability"	local:for_knowledge-awareinterpretability	"semantic accuracy"
6	"semantic accuracy for knowledge-aware interpretability"	local:semanticaccuracy_for	"knowledge-aware interpretability"
6	"knowledge-aware interpretability of final model"	local:of_finalmodel	"knowledge-aware interpretability"
6	"knowledge-aware interpretability of final model"	local:knowledge-awareinterpretability_of	"final model"
6	"relying"	vn.role:Theme	"semantic accuracy for knowledge-aware interpretability"
6	"original knowledge graph"	rdfs:subClassOf	"graph"
6	"original knowledge"	rdfs:subClassOf	"knowledge"
6	"knowledge graph"	rdfs:subClassOf	"graph"
6	"original knowledge graph"	rdfs:subClassOf	"knowledge graph"
6	"encoded"	local:AM-LOC	"original knowledge graph"
6	"encoded"	vn.role:Patient	"we"
6	"semantic accuracy"	rdfs:subClassOf	"accuracy"
6	"knowledge-aware interpretability"	rdfs:subClassOf	"interpretability"
6	"final model"	rdfs:subClassOf	"model"
6	"semantic accuracy for knowledge-aware interpretability"	local:for_knowledge-awareinterpretability	"semantic accuracy"
6	"semantic accuracy for knowledge-aware interpretability"	local:semanticaccuracy_for	"knowledge-aware interpretability"
6	"knowledge-aware interpretability of final model"	local:of_finalmodel	"knowledge-aware interpretability"
6	"knowledge-aware interpretability of final model"	local:knowledge-awareinterpretability_of	"final model"
6	"encoded"	vn.role:Patient	"semantic accuracy for knowledge-aware interpretability"
6	"original knowledge graph"	rdfs:subClassOf	"graph"
6	"original knowledge"	rdfs:subClassOf	"knowledge"
6	"knowledge graph"	rdfs:subClassOf	"graph"
6	"original knowledge graph"	rdfs:subClassOf	"knowledge graph"
6	"encoded in original knowledge graph"	local:in_originalknowledgegraph	"encoded"
6	"encoded in original knowledge graph"	local:encoded_in	"original knowledge graph"
6	"evaluated"	local:AM-MNR	"relying"
6	"evaluated"	vn.role:Agent	"we"
6	"evaluated"	local:AM-DIS	"also"
6	"semantic accuracy"	rdfs:subClassOf	"accuracy"
6	"knowledge-aware interpretability"	rdfs:subClassOf	"interpretability"
6	"final model"	rdfs:subClassOf	"model"
6	"semantic accuracy for knowledge-aware interpretability"	local:for_knowledge-awareinterpretability	"semantic accuracy"
6	"semantic accuracy for knowledge-aware interpretability"	local:semanticaccuracy_for	"knowledge-aware interpretability"
6	"knowledge-aware interpretability of final model"	local:of_finalmodel	"knowledge-aware interpretability"
6	"knowledge-aware interpretability of final model"	local:knowledge-awareinterpretability_of	"final model"
6	"evaluated"	vn.role:Theme	"semantic accuracy for knowledge-aware interpretability"
