0	"cross-domain"	rdfs:member	"cross-domain knowledge"
3	"recent embedding-based approaches"	rdfs:subClassOf	"embedding-based approaches"
3	"operate"	vn.role:Patient	"recent embedding-based approaches"
3	"vector"	rdfs:member	"vector space"
3	"uninterpretable latent"	rdfs:member	"uninterpretable latent semantic"
3	"latent semantic vector"	rdfs:subClassOf	"vector"
3	"semantic vector"	rdfs:subClassOf	"vector"
3	"semantic vector space"	rdfs:subClassOf	"space"
3	"latent semantic"	rdfs:member	"latent semantic vector"
3	"vector space"	rdfs:subClassOf	"space"
3	"latent semantic vector"	rdfs:member	"latent semantic vector space"
3	"uninterpretable latent semantic"	rdfs:member	"uninterpretable latent semantic vector"
3	"latent semantic vector space"	rdfs:subClassOf	"space"
3	"uninterpretable latent semantic vector space"	rdfs:subClassOf	"space"
3	"uninterpretable latent"	rdfs:subClassOf	"latent"
3	"semantic vector"	rdfs:member	"semantic vector space"
3	"uninterpretable"	rdfs:member	"uninterpretable latent"
3	"latent semantic"	rdfs:subClassOf	"semantic"
3	"latent"	rdfs:member	"latent semantic"
3	"semantic"	rdfs:member	"semantic vector"
3	"uninterpretable latent semantic"	rdfs:subClassOf	"semantic"
3	"uninterpretable latent semantic vector"	rdfs:subClassOf	"vector"
3	"uninterpretable latent semantic vector"	rdfs:member	"uninterpretable latent semantic vector space"
3	"semantic vector space"	rdfs:subClassOf	"vector space"
3	"latent semantic vector space"	rdfs:subClassOf	"semantic vector space"
3	"uninterpretable latent semantic vector space"	rdfs:subClassOf	"latent semantic vector space"
3	"uninterpretable latent semantic vector space of entities"	local:of_entities	"uninterpretable latent semantic vector space"
3	"uninterpretable latent semantic vector space of entities"	local:uninterpretablelatentsemanticvectorspace_of	"entities"
3	"operate"	local:AM-LOC	"uninterpretable latent semantic vector space of entities"
3	"operate"	local:AM-TMP	"path-based"
3	"path-based approaches approaches"	rdfs:subClassOf	"approaches"
3	"path-based approaches"	rdfs:member	"path-based approaches approaches"
3	"path-based approaches"	rdfs:subClassOf	"approaches"
3	"path-based"	rdfs:member	"path-based approaches"
3	"approaches approaches"	rdfs:subClassOf	"approaches"
3	"approaches"	rdfs:member	"approaches approaches"
3	"in operate"	rdfs:subClassOf	"operate"
3	"path-based approaches approaches"	rdfs:subClassOf	"approaches approaches"
3	"operate"	local:AM-TMP	"in operate"
3	"symbolic symbolic space"	rdfs:subClassOf	"space"
3	"symbolic symbolic"	rdfs:member	"symbolic symbolic space"
3	"inference inference"	rdfs:subClassOf	"inference"
3	"inference"	rdfs:member	"inference inference"
3	"inference inference process"	rdfs:subClassOf	"process"
3	"inference process"	rdfs:member	"inference process process"
3	"symbolic symbolic"	rdfs:subClassOf	"symbolic"
3	"inference inference"	rdfs:member	"inference inference process"
3	"symbolic space"	rdfs:subClassOf	"space"
3	"inference"	rdfs:member	"inference process"
3	"inference process"	rdfs:subClassOf	"process"
3	"symbolic"	rdfs:member	"symbolic symbolic"
3	"process"	rdfs:member	"process process"
3	"inference process process"	rdfs:subClassOf	"process"
3	"inference inference process process"	rdfs:subClassOf	"process"
3	"inference inference process"	rdfs:member	"inference inference process process"
3	"symbolic"	rdfs:member	"symbolic space"
3	"process process"	rdfs:subClassOf	"process"
3	"inference process process"	rdfs:subClassOf	"process process"
3	"inference inference process process"	rdfs:subClassOf	"inference process process"
3	"symbolic symbolic space"	rdfs:subClassOf	"symbolic space"
3	"symbolic symbolic space space"	local:_space	"symbolic symbolic space"
3	"symbolic symbolic space space"	local:symbolicsymbolicspace_	"space"
3	"symbolic symbolic space space making"	local:_making	"symbolic symbolic space space"
3	"symbolic symbolic space space making"	local:symbolicsymbolicspacespace_	"making"
3	"operate"	local:AM-ADV	"explainable"
3	"operate"	local:AM-ADV	"symbolic symbolic space space making"
3	"path-based"	rdfs:member	"path-based approaches"
3	"symbolic"	rdfs:member	"symbolic space"
3	"symbolic space"	rdfs:subClassOf	"space"
3	"path-based approaches"	rdfs:subClassOf	"approaches"
3	"operate in symbolic space"	local:in_symbolicspace	"operate"
3	"operate in symbolic space"	local:operate_in	"symbolic space"
3	"making"	vn.role:Agent	"operate in symbolic space"
3	"inference process"	rdfs:subClassOf	"process"
3	"inference"	rdfs:member	"inference process"
3	"making"	vn.role:Material	"inference process"
3	"making"	vn.role:Product	"explainable"
4	"recent embedding-based"	rdfs:subClassOf	"embedding-based"
4	"recent"	rdfs:member	"recent embedding-based"
4	"recent embedding-based"	rdfs:member	"recent embedding-based approaches"
4	"embedding-based approaches"	rdfs:subClassOf	"approaches"
4	"embedding-based"	rdfs:member	"embedding-based approaches"
4	"recent embedding-based approaches"	rdfs:subClassOf	"approaches"
4	"recent embedding-based approaches"	rdfs:subClassOf	"embedding-based approaches"
4	"operate"	vn.role:Patient	"recent embedding-based approaches"
4	"vector"	rdfs:member	"vector space"
4	"uninterpretable latent"	rdfs:member	"uninterpretable latent semantic"
4	"latent semantic vector"	rdfs:subClassOf	"vector"
4	"semantic vector"	rdfs:subClassOf	"vector"
4	"semantic vector space"	rdfs:subClassOf	"space"
4	"latent semantic"	rdfs:member	"latent semantic vector"
4	"vector space"	rdfs:subClassOf	"space"
4	"latent semantic vector"	rdfs:member	"latent semantic vector space"
4	"uninterpretable latent semantic"	rdfs:member	"uninterpretable latent semantic vector"
4	"latent semantic vector space"	rdfs:subClassOf	"space"
4	"uninterpretable latent semantic vector space"	rdfs:subClassOf	"space"
4	"uninterpretable latent"	rdfs:subClassOf	"latent"
4	"semantic vector"	rdfs:member	"semantic vector space"
4	"uninterpretable"	rdfs:member	"uninterpretable latent"
4	"latent semantic"	rdfs:subClassOf	"semantic"
4	"latent"	rdfs:member	"latent semantic"
4	"semantic"	rdfs:member	"semantic vector"
4	"uninterpretable latent semantic"	rdfs:subClassOf	"semantic"
4	"uninterpretable latent semantic vector"	rdfs:subClassOf	"vector"
4	"uninterpretable latent semantic vector"	rdfs:member	"uninterpretable latent semantic vector space"
4	"semantic vector space"	rdfs:subClassOf	"vector space"
4	"latent semantic vector space"	rdfs:subClassOf	"semantic vector space"
4	"uninterpretable latent semantic vector space"	rdfs:subClassOf	"latent semantic vector space"
4	"uninterpretable latent semantic vector space of relations"	local:of_relations	"uninterpretable latent semantic vector space"
4	"uninterpretable latent semantic vector space of relations"	local:uninterpretablelatentsemanticvectorspace_of	"relations"
4	"operate"	vn.role:other	"uninterpretable latent semantic vector space of relations"
4	"operate"	local:AM-TMP	"path-based"
4	"path-based approaches approaches"	rdfs:subClassOf	"approaches"
4	"path-based approaches"	rdfs:member	"path-based approaches approaches"
4	"path-based approaches"	rdfs:subClassOf	"approaches"
4	"path-based"	rdfs:member	"path-based approaches"
4	"approaches approaches"	rdfs:subClassOf	"approaches"
4	"approaches"	rdfs:member	"approaches approaches"
4	"in operate"	rdfs:subClassOf	"operate"
4	"path-based approaches approaches"	rdfs:subClassOf	"approaches approaches"
4	"operate"	local:AM-TMP	"in operate"
4	"symbolic symbolic space"	rdfs:subClassOf	"space"
4	"symbolic symbolic"	rdfs:member	"symbolic symbolic space"
4	"inference inference"	rdfs:subClassOf	"inference"
4	"inference"	rdfs:member	"inference inference"
4	"inference inference process"	rdfs:subClassOf	"process"
4	"inference process"	rdfs:member	"inference process process"
4	"symbolic symbolic"	rdfs:subClassOf	"symbolic"
4	"inference inference"	rdfs:member	"inference inference process"
4	"symbolic space"	rdfs:subClassOf	"space"
4	"inference"	rdfs:member	"inference process"
4	"inference process"	rdfs:subClassOf	"process"
4	"symbolic"	rdfs:member	"symbolic symbolic"
4	"process"	rdfs:member	"process process"
4	"inference process process"	rdfs:subClassOf	"process"
4	"inference inference process process"	rdfs:subClassOf	"process"
4	"inference inference process"	rdfs:member	"inference inference process process"
4	"symbolic"	rdfs:member	"symbolic space"
4	"process process"	rdfs:subClassOf	"process"
4	"inference process process"	rdfs:subClassOf	"process process"
4	"inference inference process process"	rdfs:subClassOf	"inference process process"
4	"symbolic symbolic space"	rdfs:subClassOf	"symbolic space"
4	"symbolic symbolic space space"	local:_space	"symbolic symbolic space"
4	"symbolic symbolic space space"	local:symbolicsymbolicspace_	"space"
4	"symbolic symbolic space space making"	local:_making	"symbolic symbolic space space"
4	"symbolic symbolic space space making"	local:symbolicsymbolicspacespace_	"making"
4	"operate"	local:AM-ADV	"explainable"
4	"operate"	local:AM-ADV	"symbolic symbolic space space making"
4	"path-based"	rdfs:member	"path-based approaches"
4	"symbolic"	rdfs:member	"symbolic space"
4	"symbolic space"	rdfs:subClassOf	"space"
4	"path-based approaches"	rdfs:subClassOf	"approaches"
4	"operate in symbolic space"	local:in_symbolicspace	"operate"
4	"operate in symbolic space"	local:operate_in	"symbolic space"
4	"making"	vn.role:Agent	"operate in symbolic space"
4	"inference process"	rdfs:subClassOf	"process"
4	"inference"	rdfs:member	"inference process"
4	"making"	vn.role:Material	"inference process"
4	"making"	vn.role:Product	"explainable"
5	"path-based"	rdfs:member	"path-based approaches"
5	"path-based approaches"	rdfs:subClassOf	"approaches"
5	"however path-based approaches"	rdfs:subClassOf	"path-based approaches"
5	"consider"	vn.role:Agent	"however path-based approaches"
5	"consider"	local:AM-TMP	"typically"
5	"approaches applicability"	rdfs:subClassOf	"applicability"
5	"approaches"	rdfs:member	"approaches applicability"
5	"path-based approaches applicability"	rdfs:subClassOf	"applicability"
5	"knowledge"	rdfs:member	"knowledge graphs"
5	"static"	rdfs:member	"static snapshots"
5	"knowledge graphs"	rdfs:subClassOf	"graphs"
5	"static snapshots"	rdfs:subClassOf	"snapshots"
5	"path-based approaches"	rdfs:member	"path-based approaches applicability"
5	"path-based approaches"	rdfs:subClassOf	"approaches"
5	"path-based"	rdfs:member	"path-based approaches"
5	"emerging entities"	rdfs:subClassOf	"entities"
5	"newly emerging"	rdfs:subClassOf	"emerging"
5	"path-based approaches applicability"	rdfs:subClassOf	"approaches applicability"
5	"severely restricting"	rdfs:subClassOf	"restricting"
5	"static snapshots of knowledge graphs"	local:of_knowledgegraphs	"static snapshots"
5	"static snapshots of knowledge graphs"	local:staticsnapshots_of	"knowledge graphs"
5	"evolving with emerging entities"	local:with_emergingentities	"evolving"
5	"evolving with emerging entities"	local:evolving_with	"emerging entities"
5	"consider"	vn.role:Theme	"static snapshots of knowledge graphs"
5	"restricting"	local:AM-MNR	"severely"
5	"approaches applicability"	rdfs:subClassOf	"applicability"
5	"approaches"	rdfs:member	"approaches applicability"
5	"path-based approaches applicability"	rdfs:subClassOf	"applicability"
5	"knowledge"	rdfs:member	"knowledge graphs"
5	"knowledge graphs"	rdfs:subClassOf	"graphs"
5	"path-based approaches"	rdfs:member	"path-based approaches applicability"
5	"path-based approaches"	rdfs:subClassOf	"approaches"
5	"path-based"	rdfs:member	"path-based approaches"
5	"emerging entities"	rdfs:subClassOf	"entities"
5	"newly emerging"	rdfs:subClassOf	"emerging"
5	"path-based approaches applicability"	rdfs:subClassOf	"approaches applicability"
5	"evolving with emerging entities"	local:with_emergingentities	"evolving"
5	"evolving with emerging entities"	local:evolving_with	"emerging entities"
5	"restricting"	vn.role:Patient	"path-based approaches applicability"
5	"knowledge graphs"	rdfs:subClassOf	"graphs"
5	"knowledge"	rdfs:member	"knowledge graphs"
5	"evolving"	vn.role:Location	"knowledge graphs"
5	"emerging"	local:AM-TMP	"newly"
5	"emerging"	vn.role:Theme	"entities"
6	"inductive representation"	rdfs:subClassOf	"representation"
6	"inductive"	rdfs:member	"inductive representation"
6	"learning"	vn.role:Agent	"inductive representation"
6	"learning"	vn.role:Agent	"framework"
7	"learn"	vn.role:Agent	"framework"
7	"unseen entities"	rdfs:subClassOf	"entities"
7	"previously"	rdfs:member	"previously unseen"
7	"previously unseen entities"	rdfs:subClassOf	"entities"
7	"unseen"	rdfs:member	"unseen entities"
7	"previously unseen"	rdfs:subClassOf	"unseen"
7	"previously unseen"	rdfs:member	"previously unseen entities"
7	"representations of unseen entities"	local:of_unseenentities	"representations"
7	"representations of unseen entities"	local:representations_of	"unseen entities"
7	"learn"	vn.role:Theme	"representations of unseen entities"
8	"overcome"	vn.role:Theme2	"issue"
8	"overcome"	vn.role:Theme1	"we"
8	"inductive representation"	rdfs:subClassOf	"representation"
8	"inductive"	rdfs:member	"inductive representation"
8	"overcome"	vn.role:Theme1	"inductive representation"
8	"propose"	local:AM-PNC	"overcome"
8	"propose"	vn.role:Agent	"we"
8	"inductive representation"	rdfs:subClassOf	"representation"
8	"inductive"	rdfs:member	"inductive representation"
8	"propose"	vn.role:Topic	"inductive representation"
9	"finds"	vn.role:Agent	"method"
9	"unseen entities"	rdfs:subClassOf	"entities"
9	"link prediction"	rdfs:subClassOf	"prediction"
9	"link"	rdfs:member	"link prediction"
9	"target"	rdfs:member	"target entities"
9	"unseen"	rdfs:member	"unseen entities"
9	"target entities"	rdfs:subClassOf	"entities"
9	"interpretable entities"	rdfs:subClassOf	"entities"
9	"unseen interpretable entities"	rdfs:subClassOf	"interpretable entities"
9	"thereby making"	rdfs:subClassOf	"making"
9	"reasoning paths"	rdfs:subClassOf	"paths"
9	"reasoning paths between target entities"	local:between_targetentities	"reasoning paths"
9	"reasoning paths between target entities"	local:reasoningpaths_between	"target entities"
9	"link prediction for unseen interpretable entities"	local:for_unseeninterpretableentities	"link prediction"
9	"link prediction for unseen interpretable entities"	local:linkprediction_for	"unseen interpretable entities"
9	"finds"	vn.role:Theme	"thereby making"
9	"target entities"	rdfs:subClassOf	"entities"
9	"target"	rdfs:member	"target entities"
9	"reasoning paths"	rdfs:subClassOf	"paths"
9	"reasoning paths between target entities"	local:between_targetentities	"reasoning paths"
9	"reasoning paths between target entities"	local:reasoningpaths_between	"target entities"
9	"making"	vn.role:Agent	"reasoning paths between target entities"
9	"link prediction"	rdfs:subClassOf	"prediction"
9	"unseen entities"	rdfs:subClassOf	"entities"
9	"unseen"	rdfs:member	"unseen entities"
9	"link"	rdfs:member	"link prediction"
9	"interpretable entities"	rdfs:subClassOf	"entities"
9	"unseen interpretable entities"	rdfs:subClassOf	"interpretable entities"
9	"link prediction for unseen interpretable entities"	local:for_unseeninterpretableentities	"link prediction"
9	"link prediction for unseen interpretable entities"	local:linkprediction_for	"unseen interpretable entities"
9	"making"	vn.role:Material	"link prediction for unseen interpretable entities"
10	"finds"	vn.role:Agent	"method"
10	"unseen entities"	rdfs:subClassOf	"entities"
10	"source"	rdfs:member	"source entities"
10	"link prediction"	rdfs:subClassOf	"prediction"
10	"link"	rdfs:member	"link prediction"
10	"unseen"	rdfs:member	"unseen entities"
10	"source entities"	rdfs:subClassOf	"entities"
10	"interpretable entities"	rdfs:subClassOf	"entities"
10	"unseen interpretable entities"	rdfs:subClassOf	"interpretable entities"
10	"thereby making"	rdfs:subClassOf	"making"
10	"reasoning paths"	rdfs:subClassOf	"paths"
10	"reasoning paths between source entities"	local:between_sourceentities	"reasoning paths"
10	"reasoning paths between source entities"	local:reasoningpaths_between	"source entities"
10	"link prediction for unseen interpretable entities"	local:for_unseeninterpretableentities	"link prediction"
10	"link prediction for unseen interpretable entities"	local:linkprediction_for	"unseen interpretable entities"
10	"finds"	vn.role:Theme	"thereby making"
10	"reasoning paths"	rdfs:subClassOf	"paths"
10	"reasoning paths between source"	local:between_source	"reasoning paths"
10	"reasoning paths between source"	local:reasoningpaths_between	"source"
10	"making"	vn.role:Agent	"reasoning paths between source"
10	"link prediction"	rdfs:subClassOf	"prediction"
10	"unseen entities"	rdfs:subClassOf	"entities"
10	"unseen"	rdfs:member	"unseen entities"
10	"link"	rdfs:member	"link prediction"
10	"interpretable entities"	rdfs:subClassOf	"entities"
10	"unseen interpretable entities"	rdfs:subClassOf	"interpretable entities"
10	"link prediction for unseen interpretable entities"	local:for_unseeninterpretableentities	"link prediction"
10	"link prediction for unseen interpretable entities"	local:linkprediction_for	"unseen interpretable entities"
10	"making"	vn.role:Material	"link prediction for unseen interpretable entities"
11	"finds"	vn.role:Agent	"method"
11	"support"	rdfs:member	"support evidence"
11	"support evidence"	rdfs:subClassOf	"evidence"
11	"target"	rdfs:member	"target entities"
11	"target entities"	rdfs:subClassOf	"entities"
11	"inferred link"	rdfs:subClassOf	"link"
11	"inferred"	rdfs:member	"inferred link"
11	"thereby providing"	rdfs:subClassOf	"providing"
11	"reasoning paths"	rdfs:subClassOf	"paths"
11	"reasoning paths between target entities"	local:between_targetentities	"reasoning paths"
11	"reasoning paths between target entities"	local:reasoningpaths_between	"target entities"
11	"reasoning paths between target entities thereby providing"	local:_therebyproviding	"reasoning paths between target entities"
11	"reasoning paths between target entities thereby providing"	local:reasoningpathsbetweentargetentities_	"thereby providing"
11	"support evidence for inferred link"	local:for_inferredlink	"support evidence"
11	"support evidence for inferred link"	local:supportevidence_for	"inferred link"
11	"finds"	vn.role:Theme	"reasoning paths between target entities thereby providing"
11	"target entities"	rdfs:subClassOf	"entities"
11	"target"	rdfs:member	"target entities"
11	"reasoning paths"	rdfs:subClassOf	"paths"
11	"reasoning paths between target entities"	local:between_targetentities	"reasoning paths"
11	"reasoning paths between target entities"	local:reasoningpaths_between	"target entities"
11	"providing"	vn.role:Recipient	"reasoning paths between target entities"
11	"support"	rdfs:member	"support evidence"
11	"support evidence"	rdfs:subClassOf	"evidence"
11	"providing"	vn.role:Agent	"support evidence"
11	"inferred"	rdfs:member	"inferred link"
11	"inferred link"	rdfs:subClassOf	"link"
11	"providing"	vn.role:indirect_object	"inferred link"
11	"inferred"	vn.role:Theme	"link"
12	"finds"	vn.role:Agent	"method"
12	"support"	rdfs:member	"support evidence"
12	"source"	rdfs:member	"source entities"
12	"support evidence"	rdfs:subClassOf	"evidence"
12	"inferred link"	rdfs:subClassOf	"link"
12	"source entities"	rdfs:subClassOf	"entities"
12	"inferred"	rdfs:member	"inferred link"
12	"thereby providing"	rdfs:subClassOf	"providing"
12	"reasoning paths"	rdfs:subClassOf	"paths"
12	"reasoning paths between source entities"	local:between_sourceentities	"reasoning paths"
12	"reasoning paths between source entities"	local:reasoningpaths_between	"source entities"
12	"reasoning paths between source entities thereby providing"	local:_therebyproviding	"reasoning paths between source entities"
12	"reasoning paths between source entities thereby providing"	local:reasoningpathsbetweensourceentities_	"thereby providing"
12	"support evidence for inferred link"	local:for_inferredlink	"support evidence"
12	"support evidence for inferred link"	local:supportevidence_for	"inferred link"
12	"finds"	vn.role:Theme	"reasoning paths between source entities thereby providing"
12	"source"	rdfs:member	"source entities"
12	"source entities"	rdfs:subClassOf	"entities"
12	"reasoning paths"	rdfs:subClassOf	"paths"
12	"reasoning paths between source entities"	local:between_sourceentities	"reasoning paths"
12	"reasoning paths between source entities"	local:reasoningpaths_between	"source entities"
12	"providing"	vn.role:Recipient	"reasoning paths between source entities"
12	"support"	rdfs:member	"support evidence"
12	"support evidence"	rdfs:subClassOf	"evidence"
12	"providing"	vn.role:Agent	"support evidence"
12	"inferred"	rdfs:member	"inferred link"
12	"inferred link"	rdfs:subClassOf	"link"
12	"providing"	vn.role:indirect_object	"inferred link"
12	"inferred"	vn.role:Theme	"link"
