1	"aims"	vn.role:Experiencer	"major focus of knowledge graphs"
11	"major"	local:partOf	"major focus"
11	"syntactic"	local:partOf	"syntactic information"
11	"knowledge"	local:partOf	"knowledge graphs"
11	"syntactic information"	rdfs:subClassOf	"information"
11	"order information"	rdfs:subClassOf	"information"
11	"order"	local:partOf	"order information"
11	"knowledge graphs"	rdfs:subClassOf	"graphs"
11	"can capture"	rdfs:subClassOf	"capture"
11	"can capture in major focus"	local:in_majorfocus	"can capture"
11	"can capture in major focus"	local:cancapture_in	"major focus"
11	"major focus of knowledge graphs"	local:of_knowledgegraphs	"major focus"
11	"major focus of knowledge graphs"	local:majorfocus_of	"knowledge graphs"
11	"syntactic information of paths"	local:of_paths	"syntactic information"
11	"syntactic information of paths"	local:syntacticinformation_of	"paths"
12	"semantic"	local:partOf	"semantic information"
12	"major focus"	rdfs:subClassOf	"focus"
12	"semantic information"	rdfs:subClassOf	"information"
12	"major"	local:partOf	"major focus"
12	"knowledge"	local:partOf	"knowledge graphs"
12	"order information"	rdfs:subClassOf	"information"
12	"order"	local:partOf	"order information"
12	"knowledge graphs"	rdfs:subClassOf	"graphs"
12	"can capture"	rdfs:subClassOf	"capture"
12	"can capture in major focus"	local:in_majorfocus	"can capture"
12	"can capture in major focus"	local:cancapture_in	"major focus"
12	"major focus of knowledge graphs"	local:of_knowledgegraphs	"major focus"
12	"major focus of knowledge graphs"	local:majorfocus_of	"knowledge graphs"
12	"semantic information of paths"	local:of_paths	"semantic information"
12	"semantic information of paths"	local:semanticinformation_of	"paths"
13	"several"	local:partOf	"several state-of-the-art"
13	"benchmark datasets"	rdfs:subClassOf	"datasets"
13	"several state-of-the-art models"	rdfs:subClassOf	"models"
13	"several state-of-the-art"	rdfs:subClassOf	"state-of-the-art"
13	"state-of-the-art models"	rdfs:subClassOf	"models"
13	"several state-of-the-art"	local:partOf	"several state-of-the-art models"
13	"benchmark"	local:partOf	"benchmark datasets"
13	"experimental"	local:partOf	"experimental results"
13	"experimental results"	rdfs:subClassOf	"results"
13	"state-of-the-art"	local:partOf	"state-of-the-art models"
13	"several state-of-the-art models"	rdfs:subClassOf	"state-of-the-art models"
13	"our method"	rdfs:subClassOf	"method"
13	"outperforms on benchmark datasets"	local:on_benchmarkdatasets	"outperforms"
13	"outperforms on benchmark datasets"	local:outperforms_on	"benchmark datasets"
14	"highly parameter efficient"	rdfs:subClassOf	"efficient"
14	"highly parameter"	local:partOf	"highly parameter efficient"
14	"highly"	local:partOf	"highly parameter"
14	"highly parameter"	rdfs:subClassOf	"parameter"
14	"parameter"	local:partOf	"parameter efficient"
14	"further"	local:partOf	"further analysis"
14	"parameter efficient"	rdfs:subClassOf	"efficient"
14	"further analysis"	rdfs:subClassOf	"analysis"
14	"our model"	rdfs:subClassOf	"model"
